stage,eye,glial,neural,periderm,spinal_cord
 36-46,0.85,0,0,0,0
 48-58,0.56,0,1.99,0,0
 60-70,0,0,1.26,0,0
 72-82,0,0,5.27,0,0
 84-94,0,1.31,0,0,1.04
 96-106,0,0,0,2.46,0
