stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,112.49,3559.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.82,0,0,0,0,0,0,0,0,0
  5-6,196.6,2266.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,23.8,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.63,0,0,0,62.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.74,0,7.2,0,0,0,19.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.82,0,0,0,76.17,0,5.07,0,0,13.05,0,0,0,0,0,0
 14-21,0,0,1.38,0,60.04,0.94,0,3.36,0,0.82,0,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,2.88,11.42,0,0.93,2.33,0,7.48,0.9,5.44,0.87,2.28,2.8,0,0,1.09,0
 24-34,0,0,0.66,0.77,66.23,1.61,0,3.88,0,10.84,3.46,2.45,0,0,3.89,3.34,13.16,0,0.63,0,0,0,0.65,0,2.7,78.67,11.21,1.65,0,0,0,23.52,0,0,3.16,5.9,15.52,0,0,10.12,0
 36-46,0,0,0,0,47.18,0,0,3.73,0,11.53,12.42,2.97,1.33,0,0,5.66,2.81,0,1.31,0,0,2.27,0,0,0.91,154.72,5.98,2.95,0.57,0,0,21.89,0,0,0,0,19.21,0,0,2.95,0
 48-58,0,0,0,0,40.04,0,0,11.24,0,7.18,18.65,4.26,0,0,0.67,2.53,3.54,0,0.41,0,0,1.97,0,0,0.78,201.2,0.74,0.47,0,0,0,22.4,0,0,0,0,34.47,0,0,0.92,0
 60-70,0,0,1.73,0,37.58,0,0,46.82,0.58,12.2,13.4,6.54,1.75,0,0,10.48,1.21,0,0,0,0,10.05,0,0,0,444.51,2.9,4.11,0.69,0,0,26.34,0,0,0,0,82.81,0,0,0,0
 72-82,0,0,2.71,0,24.46,0.53,0,51.74,0,7.39,6.94,8.48,0.57,0,2.3,5.13,2.46,2.8,1.74,0,0,13.24,0.93,2.15,5.61,358.39,0,0,4.89,0,0,27.73,0,0,0,0,56.58,0.69,0,3.61,0.55
 84-94,0,0,3.35,0,56.42,0,0,76.25,0,25.56,33.86,4.14,1.11,0.99,0,28.12,16.21,0.61,1.2,7.26,0,21.17,2.93,3.22,1.19,302.36,0,9.71,2.68,0,0,94.23,0,0,0,0,32.34,3.06,0,0,0
 96-106,0,0,3.94,0,56.46,2.5,0,28.21,0,19.35,7.27,13.3,4.87,0,0,15.59,3.07,0,2.19,7.71,0.67,9.71,3.13,0,1.67,174.28,0,0.63,0,0,1.44,66.59,0,0,0,0,17.29,0,0.78,0,6.46
108-118,0,0,1.87,1.06,75.73,0,0,68.59,0,21.78,17.9,32.51,1.98,0,0.88,15.63,8.26,10.25,0.49,10.66,0,15.33,3.66,0,1.15,240.47,0,8.24,0,0,0,30.89,0,0,0,0,2.77,0.81,0,3.7,0
120,0,0,3.29,0,81.21,0,1.71,61.62,0,20.77,10.32,34.97,0,0,0,19.17,20.26,1.74,0,7.07,0,0,0,0,0,397.6,0,2.34,3.46,0,0,66.79,0,0,0,0,0,0,0,4.51,0
