stage,axial,endoderm,epidermis,eye,glial,iridophores,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,8.6,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,18.84,0,5.44,0
 10-12,0,14.84,0,0,0,0,0,12.8,0,0,0
 14-21,0,0,0,0,0,0,0,1.11,0,0,0
 24-34,0,0,0,0,0,0,1.85,5.37,0,0,1.4
 36-46,0,0,0,1.81,0,0,1.23,8.38,0,0,0
 48-58,0,0,0,0,0.7,0,0,4.45,0,0,0
 60-70,0,0,0,1.02,0,0,0,9.89,0,0,0
 72-82,0,0,2.16,0.57,0,0,3.85,4.36,0,0,0
 84-94,0,0,0,0,0,0,0,10.88,0,0,0
 96-106,0,0,0,0,0,0,0,5.51,0,0,0
108-118,0,0,0,0,0,1.06,1.71,4.71,0,0,4.37
120,0,0,0,0,9.96,0,5.39,6.78,2.3,0,0
