stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,33.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0
 14-21,0,0,0,0,1.08,0,0,0,0,1.45,0,0,0,0,0,0
 24-34,0,0,0,0.88,0,0,0,0.85,0.65,4.97,0,0,0,0,1.6,0
 36-46,0,2.44,0,1.4,0,0,0,0,0,14.45,1.45,0.57,0,0.86,0,0
 48-58,0,0,0,3.6,7.15,0,0,5.13,0,12.42,0,0,1.32,2.22,0.53,0
 60-70,0,0,0,9.16,0.92,0,0,4.98,0.6,16.18,1.15,0,13.67,2.69,4.19,0
 72-82,0,0,9.44,2.11,0,0,0.75,0.57,0,1.67,0,0,0,8.19,0,1.24
 84-94,0,0,0,0.67,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
108-118,0,0,0,6.93,3.65,1.74,0,0,0,3.6,0,0,0,0,1.29,0
120,0,0,0,4.1,0,0,0,0,0,25.9,0,0,0,4.02,0,0
