stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.03,459.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0
  5-6,27.63,355.28,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,27.67,0,0,7.51,0,8.64,0,0,0,0,0
 10-12,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.04,0,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0.94,0,0,0,0,0,0,0,1.06,0,0,0.91,0,0,0,0,0,0,0
 24-34,0,0,0,0.78,0,1.58,0,0,0,0,0,0,0,1.45,0,4.57,34.39,0.63,0,0,0.68,0,8.16,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,82.03,3.02,9.6,0,0,0,24.77,0,0,0,0
 48-58,0,0,0,0,0,3.88,2.85,0.7,0,0,0,0,0,0,0,0,148.52,0,0,0,0,0,29.97,0,0,0,0
 60-70,0,0,0,0,0,38.67,0,2.77,0,0,0,1.13,0,1.38,0,0,273.63,0,3.06,0,0,0,38.37,0,0,0,0
 72-82,0,0,0,0.58,0,111.61,0,3.5,0,0,0,0,0,2.96,1.98,1.55,404.98,2.26,0.56,0,0,0,31.68,1.34,0,0,0
 84-94,0,0,0,0,0,65.38,0,0,0,0,0.6,1.7,0,0,0,0,236.02,0.66,2.87,0,0,0,16.39,0,0,1.53,0
 96-106,0,0,0,1.32,0,42.55,0,2.51,0,0.86,0.6,1.57,0,1.94,0,1.26,280.42,0,1.79,0,0,0,7.34,0,0,0,3.35
108-118,0,0,0,3.28,1.73,77.87,0,4.22,0,0,0,0,0.5,2.67,0,0,273.49,0,1.31,0,0,0,8.76,0,0.56,0,0
120,0,0,0,0,0,88.99,0,4.58,0,0,0,0,0,3.11,0,0,537.48,5.76,11.89,0,2.81,0,23.2,0,0,17.64,0
