stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,388.91,9793.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.2,0,0,0,0,0,0,0
  5-6,244.35,3365.38,0,0,0,0,0,0,0,0,0,0,209.63,0,0,21.5,72.75,0,0,0,0,0,0,0
  7-9,9.12,17.22,0,36.28,0,55.82,0,0,0,35.66,0,0,630.95,3.38,0,210.42,0,41.64,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,47.32,0,0,0,11.29,0,0,221.15,0,0,66.99,0,32.66,0,0,0,0,0,0
 14-21,0,0,0,0,3.19,0,0,0,0,0,1.03,2.29,6.83,0,0,0.96,0,2.18,1.25,0,0.9,1.94,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,1.32,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.79,0,0
 60-70,0,0,0.95,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.87,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.84,0,0,2.28,1.33,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0
 96-106,0,0,0,0,0,0.69,0,2.33,10.02,0,0,0,3.04,0,0,0,1.53,0,0,0,0,0,0,3.34
108-118,0,0,0,0,0,0.45,4.07,0,3.06,0,0,0.98,2.52,0,0,0,0,0,0,0.42,0,0,0,0
120,0,0,0,0,0,0,1.2,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
