stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.59,0,0,10.59,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,91.62,0,0,0,24.33,0,0,7.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,0,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.69,12.58,0,0,89.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.14,0,7.07,0,0,0,1.84,1.5,0,0,0,0,0,0,0,0,9.17,0,0,8.26,95.85,0,0,3.79,2.8,0,0,0,10.77,0.89,0,10.73,46.54,0,0,0,0,0
 24-34,0,0,0,2.38,3.16,0,17.34,0,0,0,2.71,0,0,0,0,0,0,0.71,0.84,0,22.83,0,0,8.93,291.64,0,4.34,2.09,0,0,4.78,0,0,0,1.19,1.47,90.32,0,0,3.88,0,0
 36-46,0,0,0,0,4.27,0,84.93,1.79,0,0,14.96,0,0,0,0,0,9.59,0,1.14,0,36.85,5.89,1.32,5.02,589.6,0,1.42,1.46,0,0,2.21,0,0,0,0,0,112.03,0,0,5.53,0,0
 48-58,0,0,0,0,17.6,0,107.49,0,0,0,22.41,0,0,0,0,0,0,0,0,0,51.33,0,0,9.45,309.72,0,1.37,0.38,0,0,11.19,0,0,0,0,0,73.66,0,0,0,0,0
 60-70,0,0,0,0,0.97,0,133.19,0,1.86,0,21.31,0,0,0,0,0,0,0,0,0,50.33,0,0,7.85,322.29,0,2.11,6.69,0,0,3.88,0,0,0,0,0,48.32,0,0.71,2.13,0,0
 72-82,0,0,1.09,0,2.03,2.69,65.84,0,0.55,0.68,17.96,0,0,1.41,0,0,0,0,0,3.31,45.61,0,0,1.77,175.91,0,0,2.86,0,4.64,1.41,0,0,0,0,0,39.17,4.02,0,2.31,0,0
 84-94,0,0,0,0,0.63,0,33.82,0,0,0.94,28.4,0,0,0,0,0,0,0.81,0,0,26.85,0,1.32,0,131.31,0,0,0,0,5.27,2.8,0,0,0,0,0,9.26,0,0,2.48,0,0
 96-106,0,0,0,0,6.51,8,42.67,1.64,0,1.81,14.45,0.59,0,0,1.91,0.91,0,0.63,0,0,55.49,0,0,2.46,93.29,0,3.4,2.81,0,0,3.62,0,0,0,0,0,13.56,0,0,4.13,0,1.78
108-118,0,0,0,0,2.36,0,24.76,0,1.01,0.83,21.51,2.63,0,0,0,0,0,1.11,0,0,45.01,0,0,1.95,182.7,0.81,0.41,4.78,0,0,1.51,0,0,0,0,0,5.47,1.2,4.14,1.14,2.02,0
120,0,0,0,0,26.77,0,39.51,0,1.92,0,43.71,0,0,0,3.81,0,1.01,0,5.66,0,42.73,0,0,0,209.69,0,1.26,3.34,0,0,0,0,0,0,0,0,2.39,0,0,0,0,6.17
