stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0
  5-6,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,17.94,0,0,0,26.48,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01,0,0,0,15.04,0,0,0,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,1.27,0,0,3.72,0,0,0,0,0,1.83,3.7,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,19.41,0,0,0,0,0.6,0,4.19,0,0.72,0
 36-46,0,0,1.64,0,3.9,0,4.02,0,0,0,0,0.74,0,0,0.61,0,0,33.04,0.64,0.7,0,0,2.16,0,3.51,1.04,0,0
 48-58,0,0,0,0,0.63,0,0.54,0,0.75,0,0,0,1.45,0,3.37,0,0,13.62,0,0,0.47,0,0,0,3.04,0,0,0
 60-70,0,0,0.57,0,1.6,7.02,1.98,0,0,0,0,0,52.85,0,9.71,0,0.6,20.82,0,0,0,0,0,0,1.71,0,3.1,0
 72-82,0,0,0,0,2.47,0,0.92,0.51,0,0,0,0,62.55,0,1.48,0,0,13.44,0,0,4.56,0,1.21,0,11.51,0,0.94,0
 84-94,0,0,0,0,0,0,3.59,0,0,0,0,0,106.22,0,3.87,1.38,0,18.6,0,0,0,0,2.57,0,0,0,0,0
 96-106,0,0,1.91,1.17,12,0,3.95,0,0,0,0,0,416.08,6.67,9.38,0,0.95,35.72,0,2.14,1.35,0,2.03,0,0,0,0,0
108-118,0,6.47,1.39,0,5.83,0.58,4.3,0,0,0.85,0,0,288.12,0,1.82,0,0,42.68,0,0,0,0,0,0,0,0,0,2.5
120,0,0,0,0,5.32,0,0,0,0,1.29,0,0,308.57,0,1.14,0,0,24.26,0,0,3.91,0,0,0,0,0,0,0
