stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,648.3,12953.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.41,0,0,0,0,0,0,0,0,0,0,0
  5-6,550.24,7987.31,0,19.34,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,167.67,17.23,0,0,40.29,0,141.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.04,31.56,0,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.81,35.1,0,0,180.03,0,0,18.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,97.56,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,682.07,0,0,0,20.05,0,0,0,0,69.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.19,730.05,22.58,0,0,0,0,0,0,31.84,0,3.04,0,16.21,0,0,1.59,0,249.76,0,62.27,95.98,1.39,0,0,8.86,0,2.19,0,16.33,0.94,2.25,12.14,5.6,0,0,0,0,0
 24-34,0,0,2.43,1.52,39.62,0,0,9.74,0,4.9,0,0,6.91,0,0,0,0,0.63,0,0,1.71,212.62,0,50.2,409.59,0,3.94,0,0,0,0,0,0,0,0,0,91.31,0,0,6.16,0,0
 36-46,0,0,1.35,0.96,15.02,0,0,5.53,0,15.67,6.47,2.6,1.33,0,0,0,0,0,0,0,0,49.39,1.13,12.23,799.69,0,11.99,0,0,7.92,1.61,0,0,0,0,0,201.81,0,0,0,0,11.1
 48-58,0,0,0,0,42.23,0,0,74.99,0.57,22.19,5.8,21.21,0,0,0,0,3.82,0,0,1.3,0,19.59,2.14,11.73,1749.93,0,2.96,5.12,0,0,8.99,0,0.92,0,0,5.63,200.55,0,0,1.86,0,10.75
 60-70,0,0,0,0,37.57,10.5,0,383.95,0,7.14,31,60,8.88,0,0,0.59,5.42,0,2.21,2.6,0,48.62,13.97,1.08,2874.57,9.23,1.09,0,0,0,0.58,0,0,0,0,0,280.19,0,0,4.9,0,10.05
 72-82,0,0,0.54,0,13.67,4.17,1.16,683.74,0,2.97,6.34,59.62,0,0,1.02,0.54,0,0,0,0,3.49,43.25,0.98,1.23,3173.92,0,8.92,0,0,0,7.59,0,0,0,0,0,218.13,0,1.34,3.22,1.42,0
 84-94,0,0,1.05,0,20.84,0,0,513.9,0.98,0,13.44,71.26,0.88,0,0,0.7,0,0,0.69,0,6.41,31.41,3.23,4.32,2172.36,0,18.05,1.23,0,2.68,12.36,0,0,0,0,0,194.87,0,0,1.57,0.63,0
 96-106,0,0,0,0,11.18,0,0,580.61,0,0,0.64,69.52,0.71,0,0,1.64,0,0,0,1.54,0,30.84,0.92,0.95,2063.1,0,9.59,1,0,0,5.11,0,0,0,0,0,83.12,4.84,0.57,6.33,0,0
108-118,0,0,0.55,0,15.14,4.61,2.29,469.91,0,0,1.57,53.7,0,0,1.18,0,0,1.64,0,0.57,0,35.38,1.9,1.31,1878.34,0.69,3.96,3.81,0,0,1.5,0,0,0,0,0,108.94,0,0,2.3,0,0.92
120,0,0,6.86,0,26.33,0,0,498.88,0,4.19,0,145.79,1.12,0,0,0,0,0,0,5.7,0,30.76,0,4.3,3125.37,5.76,12.84,1.66,0,3.68,0,0,0,0,1.63,0,124.41,0,0,1.1,0,0
