stage,eye,glial,mesenchyme,neural,olfactory,periderm,spinal_cord
 14-21,0,0,0,0.86,0,0,0
 24-34,0,1.33,0,1.79,0,0,2.52
 36-46,0,0,1.52,1.68,0,0,0
 48-58,0.65,0,0.42,0,0,0,0
 60-70,1.52,0,0,2.15,0,3.12,0
 72-82,5.9,0,1.67,0,1.02,0,0
 84-94,0,0,0.61,0.98,0,0,0
108-118,0,0,0,0,0,0,1.84
120,0,0,0,0,11.19,0,13.85
