stage,blastomeres,erythrocytes,eye,gut,immune,mesenchyme,neural,notochord,olfactory,periderm,pronephros,spinal_cord
  3-4,35.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.86,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.47,0,0,0,0
 14-21,0,0,0.88,0,0,0,3.26,0,1.09,0,0,0
 24-34,0,0,0,0,0,0,1.85,0,0,0,0,0.87
 36-46,0,0,0.63,0,1.54,0,4.11,0,0,0,0,0
 48-58,0,0,2.03,0,1.35,0,3.45,0,0,0,0,0
 60-70,0,0,2,0.75,12.67,2.27,0,0,0,2.41,0,0
 72-82,0,0,0,0,6.08,0.63,6.71,0.72,0,0,0,0
 84-94,0,0,0,0,9.74,0,0,0,0,0,0.8,0
 96-106,0,7.51,0,0,12.05,0,0,0,0,0,0,0
108-118,0,0,0,0,16.38,0,2.9,0,0,0,0,0
120,0,0,0,0,9.1,0,0,0,0,0,0,0
