stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0
  7-9,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,17.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.47,0,0,8.09,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,1.44,0.88,0,1.72,0,0
 24-34,0,0.83,0.96,0,0,0,0,0,0.89,0,0,0,1.83,0,1.7,22.14,0,0,0,0,0,0,1.66,0,144.59
 36-46,0,0,0.63,4.99,0,0,0,0,0,0,7.21,0,3.5,0,0.8,29.3,0,0.95,0,10.83,0,0.9,6.17,2.5,1636.67
 48-58,0,0,0,12.8,0,0.78,1.43,0.67,0,10.84,0,0,5.84,0,0.65,57.96,0.46,0,0,0.38,0,0,2.86,0,2447.53
 60-70,0,0,0,92.59,0,0,2.45,0,0,8.99,0,0,6.33,0,0,24.07,0,2.49,0,11.25,0,0,1.51,0,1154.75
 72-82,0,0,0.95,7.12,0.5,0,0,0,0,8.3,0,1.89,32.71,1.12,1.02,54.6,0,0,0,1.54,0,0,0,0,581.12
 84-94,0,0,0,5.62,0,0,1.48,0,0,13.22,0,0,7.68,0.66,0,4.51,0,0,0,0,0,0,0,0,270.31
 96-106,0,0,0,6.82,0,0.74,1.53,0,0,6.22,0,0,8.58,0,1.2,18.29,0,0,0,0,0,0,0,0,243.61
108-118,0,0,0,8.37,0,0,1.4,0,0,37.32,0,0,0,0,1.94,94.45,0,0,0,0.66,0,0,0,0.54,262.74
120,0,0,0,2.87,0,0,0,0,0,1.43,0,0,15.56,0,2.8,16.72,0,0,0,0,0,0,0,0,86.09
