stage,axial,blastomeres,endoderm,erythrocytes,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,107.84,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.31,238.43,0,0,34.48,0,0,135.24,0,0,25.67,17.02,0,0,0
  7-9,57.65,24.06,17.95,0,16.7,0,0,49.04,25.4,0,211.83,0,0,0,0
 10-12,0,8.94,5.91,0,0,0,0,25.12,29.94,0,104.33,6.67,0,0,0
 14-21,0,0,0,1.08,0,0,0.96,0,2.04,0,0,0,1.57,1.97,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56
 60-70,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0
108-118,0,0,0,0,0,0.85,1.02,5.79,0,0,0,0,0,0,0
