stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.1,439.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,176.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0,0,0,3.26,0,0,16.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.89,8.76,0.89,0,0,0,0,6.86,6.09,0,0,0.81,0,0,0,0,2.36,0,0,6.19,71.56,0.86,0,0,3.82,0,0,0,1.87,11.15,0,9.14,66.22,0,0,0,0,0
 24-34,0,0,0.62,12.77,14.28,0,0,3.5,0,1.82,17.74,1.96,0,0,1.37,0,2.2,3.48,0.63,19.24,0,0.69,18.73,100.62,6.62,7.1,6.15,0,0,2.13,0,0,22.81,0,8.34,41.22,0,0,0,0,0
 36-46,0,0,0,2.18,8.63,0,0,1.65,0,2.01,22.69,0,0,0,0,1.11,9.4,7.93,2.61,43.4,0,0.68,13.67,60.35,2.78,6.91,1.26,0,0,0,0,1.63,10.83,8.6,0,15.64,0,0,0.84,0,0
 48-58,0,0,0,0,10.72,0,0,24.91,2.19,3.7,12.54,4.03,0.95,0,0,0.83,0.4,8.49,4.63,128.41,0,2.92,11.16,32.33,2.55,11.08,5.13,0,0,0.66,0,0,4.51,6.52,0,19.33,0,0,0,0,0
 60-70,0,0,0,0,12.06,0.6,0,26.3,0,11.66,24.01,0,0,0,0,0,0.7,0,0,223.73,1.14,1.78,7.1,41.28,7.64,11.34,6.95,0,1.21,0,0,0,2.91,0,0,22.25,1.46,0,0,0,0
 72-82,0,0,0,0.56,8.17,0,0,21.26,0.55,4.8,75,0,1.45,0,0,0.9,2.14,1.7,1.18,342.13,1.87,2.22,6.61,48.17,3.06,38.09,13.91,0,0,1.71,0,0,2.02,4.35,0,19.64,7.42,0,9.89,0,0.55
 84-94,0,0,0,1.01,13.66,0,0,27.24,0,1.23,111.23,0.57,0,0,1.47,1.64,2.2,3.19,2.44,218.28,0,1.06,8.31,40.24,3.13,10.01,3.49,0,0,18.17,0,0,4.58,0,0,10.89,14.88,0,3.93,1.95,0
 96-106,0,0,1.15,0,5.02,0,0.71,14.99,0.6,3.15,95.96,1.62,5.76,0,0.78,0,1.61,5.26,0.98,133.05,0,2.37,6.61,26,3.78,17.88,18.87,0,1.17,4.65,3.82,0,1.85,0,0,13.49,29.27,0,3.64,0.75,10.3
108-118,0,0,0,0,7.49,0.79,3.65,24.04,0,4.64,96.09,2.25,0.52,3.49,5.52,1.19,4.48,4.23,3.96,113.88,5.99,1.9,2.39,41.46,1.98,21.69,25.1,0,0,1.43,0,0,8.8,0,0,8.6,37.79,1.99,8.11,3.03,2.86
120,0,0,0,0,5.16,0,1.14,70.3,0,0,94.42,6.71,10.68,0,12.39,1.37,0,10.99,0,97.78,0,0,0,45.77,0,54.97,22.5,0,0,0,0,0,2.11,0,0,4.4,21.91,11.19,0,0,0
