stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,29.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0
  7-9,5.65,7.19,0,0,0,5.36,0,0,0,0,3.55,0,0,0,0,0,0,6.79,0,0,5.55,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,8.85,0,0,0,0,0
 14-21,0,0,1.07,0,0,1.06,0,0,1.61,0,0,0,0,0,3.6,0,0.81,5.04,0,0,0,0,4.71,0,0,0
 24-34,0,0,1.61,0,0,0,0,0,4.15,0,0,0,0,0,7.65,0,2.77,67.71,0,0.62,0,0,11.9,0,0,0
 36-46,0,0,4.66,0,0,0,0,0,7.6,0,0,0,0,0,29.33,0,1.43,85.12,0,0,0,0,2.98,0,0,0
 48-58,0,0,1.11,0,0,1.14,0,0.76,15.83,0,0,0,0,0.91,70.31,0,0.59,56.06,0,0,0,0,9.26,0,0,0
 60-70,0,0,1.96,5.13,0,4.9,0,0.98,19.17,0,0,0,0,1.35,128.84,0.65,0,87.73,0,1.03,0,0,3.11,0,0,0
 72-82,0,0,5.16,0,0,26.49,0,1.56,23.71,0.88,0,0.75,0,1.99,244.69,1.28,3.33,187.93,0,2.96,0,3.33,11.47,0,0,1.02
 84-94,0,0,1.29,0,0,11.44,0,0.87,17.16,0,0,0,0.84,0.86,189.73,1.37,2.08,89.08,0,5.55,0,0,12.34,0.84,0,0
 96-106,0,0,2.73,0,0,12.18,0.67,1.03,20.68,0,0,0,0,6.67,172.66,2.79,8.04,127.94,0.73,8.76,0,0,4.17,4.09,0.98,0
108-118,0,0,4.77,0,5.8,9.44,0,0,28.02,0,0,0,1.57,6.68,295.3,0,1.01,150.64,0,14.96,0,1.53,1.79,0,0,1.44
120,0,0,2.53,0,0,12.33,0,0,22.12,0,0,0,0,0,149.14,0,3.2,210.86,0,3.98,0,0,2.78,0,0,0
