stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,8.91,32.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,31.4,0,12.23,0,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,0,0,0,0,0,282.43,14.75,90.83,0,10.92,5.3,0,0,0
 24-34,0,0,1.16,0,0,0,0,0.81,0,0,0,0.79,0,0,0,0,0,0,0,0
 36-46,0,0,9.39,0,0,0,0,0,0,0,1.1,1.31,0,0,0,0,0,0,0,0
 48-58,0,0,0.84,0,0.38,0,0,0,0,0,0,5.86,0,0,0,0,0,0.52,0,0
 60-70,0,0,0,0,7.27,0,0,0,0,0,0,0.64,0,0,0,0,0,0.72,0,0
 72-82,0,0,0,0,0,2.71,0,0,0,0.72,0,0,0,0,2.13,0,0,0,0,0.81
 84-94,0,0,0,0,0,0,0,0,0,10.07,0,0,0,0,0.95,0,0,0,0,1.54
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,3.35,0,0,0,0,0
108-118,0,0,0,1.75,4.42,0,0,0,1.34,0.94,0,3.02,0,0,0,0,0,0,0,1.31
120,0,0,2.57,0,0,0,5.25,0,0,19.57,0,13.66,0,0,1.08,0,0,11.34,2.25,0
