stage,blastomeres,eye,mesenchyme,neural,paraxial_mesoderm
  3-4,28.09,0,0,0,0
  5-6,20.16,0,0,0,0
 10-12,0,0,0,3.94,18.92
 24-34,0,0,0.65,0,0
 60-70,0,0,0,4.51,0
 72-82,0,2.34,0,0,0
108-118,0,7.54,0,0,0
