stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.9,513.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.34,854.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.47,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.98,6.26,0,13.02,0,0,21.94,0,0,0,0,0,7.78,0,0,0,0,0,0,0,407.8,10.59,0,0,122.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.21,0,23.11,0,0,41.18,0,0,0,0,0,0,0,0,0,0,0,0,0,436.49,11.33,0,0,71.16,0,0,5.95,0,9.11,0,0,0,0,0,0
 14-21,0,0,0,1.01,6.26,0,3.9,0,0,0,1.24,0,0,0,0,0,0,1.23,0,0.85,20.26,0,0,0,0.8,0,0,0,3.65,1.76,3.02,6.95,0,0,1.77,0
 24-34,0,0,0.8,0,1.1,0,9.22,0,0,0,0,0,0,3.27,0.64,0,0,13.03,0,0.94,100.4,0.7,0,0,0,0,0.7,0,0,0.65,0.88,16.58,0,0,0,0
 36-46,0,0,0,0,1,0,36.74,0,0,0,6.54,0,0,0,0,0,0,7.02,0,1.76,103.33,0,0,0,0,0,0,0,0,0,0,24.09,0,0,0,0
 48-58,0,0,0,0,1.65,0,21.3,0,0,5.81,3.94,0.41,0,0,0,0,0,9.53,0,3.87,72.12,0,0.63,0,0,0,0,0,0,0,0,25.03,0,0.51,0,0
 60-70,0,0,0,0,5.99,0,19.74,0,0.63,0,17.36,0.75,0,3,0,0,0,19.09,0,0,54.09,0,0,0,0,0,3.3,0,0,0,0,9.12,0,0,1.71,6.6
 72-82,0,0,0,0,0,0,21.37,0,0,0,7.98,0,0,0.9,0,0,0,11.87,0,0,62.7,0,0,2.33,0,0.72,0,0,0,0,0,2.96,0,0,3.03,0
 84-94,0,0,0,0,2.45,0,6.28,0.76,0,1.87,6.23,0.57,0,1.31,0,0,0,15.51,8.61,0,13.51,0,0,3.2,0,0,2.57,0,0,0,0,1.44,0,0,2.03,0
 96-106,0,0,0,0,0,0,6.06,0,0,0,2.88,0,0,0,0,0,0,8.32,0,0.91,23.34,0,0,0,0,0.83,0,0,0,0,0,3.11,0,0,0.65,0
108-118,0,0,0,0,3.32,0.98,10.18,0,0,0,1.9,0,0,0,0,0,1.31,14.05,3.83,0,41.58,0,0,0,0,0,0,0,0,0,0,3.17,0.42,0,0,0
120,0,0,0,0,3.48,0,13.41,0,3.05,0,10.36,3.71,0,0,0,3.6,0,11.92,0,6.48,43.45,0,0,0,0,0,2.82,0,0,0,0,8.06,0,0,0,0
