stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.39,2.3,20.33,2.07,0,2.03,0,0,0,1.83,3.85,5.23,0,58.69,0,0,0,1.79,6.07,0,0.89,14.16,0,8.99,0,0.89,0,885.71,0,6.34,7.86,0,3.01,8.44,0,0,0,0
 24-34,0,0,22.1,0.91,0,5.99,0,7.88,0,2.5,0.67,8.75,0.6,214.57,29.35,0,0,3.7,71.03,0,3.4,170.47,2.21,73.71,2.95,0,0,1224.18,0,0,6.95,0,0,6.08,0,0,3.06,0
 36-46,0,0,75.22,0,0,8.21,0,8.54,0,0.99,1.12,8.22,0,147.56,19.93,0,0,11.49,54.08,0,3.44,207.02,0,62.52,18.38,0,0,1265.24,0,0,9.97,0,0,5.66,0,0,0,1.45
 48-58,0,0,35.54,0,0,12.33,0,9.43,0,2.51,0,4.65,0,106.9,41.06,0,1.22,4.75,34.02,0.55,0,84.98,0,46.88,25.77,0,0,724.68,0,0,23.54,1.46,0,4.96,0,0,0,3.76
 60-70,0,0,73.06,0,0,8.25,0,11.04,0,0,25.52,10.61,0,59.28,44.8,2.44,0,5.13,39.16,0,0,86.77,0,62.46,27.81,0,0,631.89,0,0,4.24,0,0,12.68,6.89,0,0,0
 72-82,0,0,61.36,0.6,0,27.97,0,1.08,0,3.09,26.37,1.58,2.63,40.15,38.23,0,0,10.11,51.47,1.11,0.76,60.98,2.85,82.25,5.18,0,0,281.98,0,0,3.26,0,0,7.88,11.5,0,1.85,0
 84-94,0,0,97.89,8.11,0,17.87,0,5.88,0,3.69,46.25,3.41,0,53.1,30.87,0,0,8.95,58.9,0,0,25.67,0,62.5,2.98,0,0,629.64,1.4,0,0.96,0,0,2.68,66.61,0,0,0
 96-106,0,0,78.08,0,0,10.56,0,1.93,0,7.32,49.48,0,2.08,35.09,38.68,6.49,0,2.27,58.67,0.92,1.62,40.79,0,57.39,7.69,0,1.11,430.71,0,0,1.1,0,0,7.72,30.36,0,0,8.14
108-118,0,0,75.18,5.57,1.08,21.47,2.65,4.85,4.6,1.78,80.89,0,7.21,50.36,30.86,0,0,8.86,81.22,0,1.18,18.64,0.54,77.63,2.98,0,0,445.39,0,0,0.64,0,0,7.02,52.12,1.1,0.62,7.26
120,0,0,178.81,2.1,0,0,0,13.53,0,0,100.38,0,1.5,45.4,42.24,0,0,3.08,36.06,0,0,106.31,0,125.51,6.69,0,0,538.23,0,0,2.39,0,0,0,68.62,0,0,0
