stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord
  5-6,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.23,0,0,0,0,0,0,18.81,6.83,0,0,0,0
 10-12,7.35,0,0,0,0,0,0,0,0,56.35,0,0,0,0,0
 14-21,0,1.86,0,0,0.82,0,1.15,0,0,10.66,0,0,2.22,0,0.97
 24-34,0,0,0,0,0,0,0,0.64,0,15.34,0,0,1.01,0.79,2.28
 36-46,0,0,0,0,1.21,0,0,1.32,0,10.79,0,0,0,0,1.93
 48-58,0,0,3.05,0,0.42,0,0,1.02,3.4,7.95,0,0.45,0,0,0.52
 60-70,0,0,3.88,0,0.66,0,0,0,0,3.49,0,0,0,0,1.35
 72-82,0,0,2.7,0,0,0,0,0.56,0,3.86,0,0,0,0,0
 84-94,0,0,1.79,0,0,0,0,1.85,0,0.78,0,0,0,0,0
 96-106,0,0,0,0,1.03,0,0,0,0,1.06,0,0,0,0,0
108-118,0,0,0,0,0,0.57,0,0.66,0,3.34,0,0,0,0,0
120,0,0,0,1.42,0,0,0,0,0,0,0,0,1.62,0,0
