stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,neural,notochord,spinal_cord,xanthophores
  5-6,10.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.99,0,0,0,0,0.98,1.16,1.76,0.93,0,0
 24-34,0,0,0,0,0,0,0,0,6.24,0,0,0
 36-46,0,0,0.88,0,0,0,0,0.79,8.32,0,0.87,0
 48-58,0,0,1.95,0.43,1.5,0,0,0,3.26,0,0,0
 60-70,0,0,3.69,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.78,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.96,0,0,0
 96-106,0,0,1.55,0,0,0.68,0,0,8.63,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.51
