stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,815.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0,0,0,0,0,0,0,0,0
  5-6,58.83,640.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.35,33.82,0,24.1,0,0,83.28,0,0,0,0,34.79,0,0,0,0,0,0,0,0,0,0,669.19,35.15,0,248.35,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,49.94,0,19.46,0,16.38,90.17,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,799.67,41.95,0,324.83,0,0,0,0,18.01,0,3.11,0,0,0,0
 14-21,0,0,0,5.11,57.13,22.07,58.71,0,0,4.13,3.04,0.91,1.1,0,0,0,3.03,0,32.79,0,0,22.12,477.34,14.37,1.88,14.02,0,1.16,1.27,34.37,1.95,9.76,23.29,73.82,0,0,0
 24-34,0,0,0,0,6.32,1.73,59.94,0,0,3.9,0,0,0.82,1.42,0,0.64,3.12,3.64,18.49,0,0,9.21,269.35,0,0,0,0,0,0.98,0,0,0,4.3,32.02,0,5.05,7.73
 36-46,0,0,0,0,1.23,0,43.04,0,0,2.57,0,0,0,2.81,2.31,0,0,0,3.71,0,0.92,3.73,70.28,0.65,0,0,0,1.14,2.37,0,0.6,0,0,11.56,0,0,1.51
 48-58,0,0,0,0,4.96,0,33.84,0,0,3.26,0,0,0,1.44,6.83,0,1.39,0,3.95,0.63,0,0.88,23.01,0,0,0,0,1.77,0,0,0,0,0,3.55,0,0,6.95
 60-70,0,0,0,0,12.39,0,71.99,0,0,4.41,0,0,0,5.95,0,0,0,2.19,5.2,0,0.6,0.61,18.95,0,0,0,2.4,7.08,0,0,0,0,0,0.69,0,0.87,11.16
 72-82,0,0,0.61,0,0,0,70.07,0,1.7,3.17,0,0,0,8.95,0.72,0,0,0,0.69,0,0,1.37,21.43,1.09,1.78,0,0,0.57,1.13,0,4.52,0,0,0,1.01,2.28,4.46
 84-94,0,0,0,0,3.16,0,86.35,0,0,4.46,0,0,0,4.39,0,0,0,0,1.55,0,0,0,11.53,0,0,0,0,0.83,0,0,0,0,0,0.83,0,3.11,0.74
 96-106,0,0,0,0,2.58,0,44.46,2.93,0,3.42,0,0,0,10.7,1.25,0,0,0,3.1,0,0,2.54,20.46,0,2.59,0,0,5.84,1.62,0,0.7,0,0,0,0,0,5.2
108-118,0,0,0,0,1.28,0,44.07,0,1.27,7.26,0.42,0,0,10.15,0,0,0,0,2.38,0,0,0,13.15,0,4.11,0,0,0,1.21,0,0,0,0,0,0,1.29,2.53
120,0,0,0,0,0,0,21.9,0,0,1.07,1.25,0,0,1.42,1.01,0,2.65,0,0,0,0,0,10.76,0,0,0,0,1.52,0,0,2.27,0,0,0,0,0,0
