stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,61.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0
 14-21,0,0,0,2.9,0,0,0,0,0,150.1,0,0,0,0,0,9.26,0,0,0,0,0,0,0
 24-34,0,0.76,0,7.11,0,0,0,0,0,463.42,0,0,2.87,0,0,22.6,0,0,2.73,0,2.01,0,0
 36-46,0,0,0,0,0,0,0,0,0,145.35,0,0,0.67,0,0,21.05,0,0,1.1,0,0,0,0
 48-58,0,0,0,0.44,0,0,0,0,0,59.59,0,0,1.59,6.34,0,10.89,0,0,0.41,0,0,0,0
 60-70,0,0,3.3,0.81,18.88,0,0,0,0,81.92,0,0,6.29,20.66,1.86,7.8,0,0,3.14,0,5.17,0,0.7
 72-82,0,0,12.72,3.27,22.13,1.64,0,0,0.66,55.9,2.48,0,29.56,17.41,0,10.94,0,0,53.83,0,0,1.27,10.71
 84-94,0,0,7.69,5.68,9.31,4.35,0,0,0,45.07,3.88,0,8.46,23.9,0,21.58,0,0,29.89,0,0,2.38,16.04
 96-106,0,0,49.8,13.7,4.37,2.17,0,5.2,8.37,59.74,4.25,3.14,10.56,19.51,0,14.99,0.6,0,16.14,0,0,0,28.69
108-118,0,0,25.35,2.72,2.07,0.49,0.52,0,2.67,59.47,6.99,0,6.35,29.41,0,23.02,0.43,0,12.26,0,0,0.77,29.87
120,0,0,18.2,4.14,33.28,0,0,0,0,232.41,1.36,0,32.88,20.05,0,40.43,0,0,11.16,6.97,0,0,21.55
