stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.42,19.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.17,0,0,0,4.35,0,0,0,0,0,0,0,48.66,5.37,0,0,4.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.98,3.92,0,0,38.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,2.19,0,0,0,0,0,0,0,0,0.94,0,1.26,7.91,0,0,0,0,0,1.02,0,0,1.64,0,0,0,0,0
 24-34,0,0,1.89,0,3.14,0,0,0,0,0,0,0,0,3.53,0,1.31,47.9,0,0.77,0,0,0.81,0,11.52,3.03,2.41,0,0,0.73,0,0
 36-46,0,0,0,0,2.03,1.39,0,0.74,0,0,0,0,0,3.07,0,2.94,53.34,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0
 48-58,0,0,0,6.79,19.06,0,0,1.97,0,0,0,0,0,6.33,0,0.39,95.68,0,0.78,0,0,0,0,0,0,11.08,0,0,0,0,4.64
 60-70,0,0,0,0,22.15,0,0,13.96,0,0,0,0,0,5.09,0,0,105.86,2.88,2.28,0,0,0,0,0,0,12.79,0,0,0,0,0
 72-82,0,0,4.66,4.84,31.43,0,0,10.61,0,0,0,0,1.79,8.93,0.65,1.52,91.03,0,0.52,0.55,0,2.75,0,0,0,19.9,0.95,0.87,0.54,1.76,0
 84-94,0,0,1.74,16.86,26.71,0,0,8.16,0,0,0.72,0,0,5.92,0,2.65,77.42,0,2.48,0,0,1.52,0,0,0,16.32,0,0,0,2.22,0
 96-106,0,0,0,13.33,31.47,0,0,3.03,0,0,0,0,0,15.91,0,1.11,61.57,0,2.5,0.87,0,7.38,0,0,0,2.52,0,0,0,0,1.36
108-118,0,0,0,4.29,45.64,0,0.74,8.35,0,2.8,0,2.48,0,10.78,0,0.56,85.16,0,1.07,0,0,0,0,0,0,10.01,0,0,7.42,0,0
120,0,0,15.12,7.03,55.68,0,0,26.21,0,0,0,0,0,17.19,0,0,207.15,0,0,0,0,2.04,0,0,0,22.8,0,0,0,0,0
