stage,epidermis,eye,glial,heart,mesenchyme,neural,spinal_cord
 10-12,0,0,0,0,0,3.22,0
 14-21,0,0,0,0.81,0,0,2.94
 24-34,0.59,1.17,0,0,1.36,1.86,0
 36-46,0.65,0.93,2,0,0,3.98,1.21
 48-58,0,4.6,0,0,0,15.52,2.29
 60-70,0,7.18,0,0,0.78,2.85,1.91
 72-82,0,4.72,0.5,0,1.44,4.89,0
 84-94,0,0.59,0.75,0,0,7.87,0
 96-106,0,4.74,0.75,0,1.25,1.07,0
108-118,0,1.33,0,0,0,1.31,0.7
120,0,1.76,0,0,0,19.64,0
