stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,76.73,13.27,0,0,4.04,0.83,0,229.09,7.47,0,0,2.08,0,56.27,5.67,0,0,12.21,24.77,13.5,2.26,141.98,0,0
 24-34,5.37,50.05,3.57,0,1.88,0,0,1477.08,3.43,0,0.73,3.15,2.34,36.1,0,0,0,0,13.57,0,1.39,13.61,4.46,0.77
 36-46,2.83,0,0.77,0,0,0,0,1293.62,0,0,0,0.67,0,46.95,0,0,0,0,22.66,0,0,2.58,1.67,0
 48-58,0,0,4.69,0,0.8,0,0.49,332.52,0,0,0,0.92,0,9.74,0,0,0,0,0.85,0,0,0.72,2.6,0.93
 60-70,0,0,3.15,0,4.99,0.57,0,489.99,0,0.73,0,2.85,0,11.2,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.11,0,0,0,0.89,298.6,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,335.16,0,0,0,0,0,2.1,0,0,0,0,0.99,0,0,0,0,0
 96-106,0.78,3.67,0.96,1.41,0,0,0,732.62,0,3.06,0,7.33,0,26.97,0,2.1,0.73,0,2.94,0,0,0,4.15,0
108-118,1.12,3.09,37.33,0,0.86,0,0,643.37,0.83,0,0,3.27,0,16.03,0,0.47,0,0,0.45,0,0,2.91,6.13,1.37
120,0,0,17.73,0,3.24,3.76,0,1395.75,0,0,0,3.28,0,1.35,2.47,0,0,0,7.26,0,0,0,18.2,0
