stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.78,26.84,440.69,34.75,0,49.38,0,2.68,0,5.86,16.98,6.4,2.07,0.99,9.28,0,1.86,1.02,2.8,58.44,3.36,0,59.41,648.36,15.65,6.59,33.47,17.73,0,46.56,12.47,130.63,17.1,19.49,146.03,183.86,0,0,17.67,0,2.45
 24-34,0,19.13,124.19,9.32,0,91.59,0.62,13.24,4.66,16.94,13.59,0.74,1.7,6.51,11.64,2.19,18.39,5.65,2.32,71.04,5.8,0,20.85,621.21,3.07,24.11,30.24,0,0,117.29,0,3.22,18.01,12.64,27.87,136.17,0,0,40.3,0,13.36
 36-46,1.35,0.56,48.32,0,0,62.1,0,5.85,3.93,9.12,4.88,0,0.63,20.31,4.5,1.77,6.23,12.93,16.94,43.5,0.79,0,7.96,206.46,2.14,9.74,14.3,0,0,104.82,0.81,0,4.72,0,0.83,50.66,0,0,19.18,0,24.94
 48-58,0.81,0,54.68,0,0,74.09,0,7.66,7.72,13.12,4.93,1.89,0.61,3.33,2.29,10.28,3.08,17.45,14.59,43.64,9.86,4.04,6.44,117.17,2.39,14.82,16.62,0,1.17,91.47,0,0,1.43,0,0,28.65,0,0,11.64,0,12.23
 60-70,1.59,0,62.57,1.49,0,110.43,0,8.33,6.84,13.99,8.22,5.49,0.77,3.61,5.63,6.96,4.34,15.3,7.05,57.1,3.3,0.59,2.82,121.39,2.11,13.76,32.64,0,0,77.87,0,0,1.08,0,0,13.25,0.81,0.61,5.65,0,15.28
 72-82,5.71,3.31,51.84,1.88,1.04,56.24,1.52,4.55,0.71,15.56,21.18,0,0,4.23,6.18,1.66,7.8,13.76,1.45,58.84,9.49,1.4,2.41,87.43,1.7,13.69,15.85,0,0,78.71,0,0,5.69,0,0,3.04,2.85,0.75,5.91,1.6,19.45
 84-94,2.75,0,84.85,11.8,0.59,56.36,0,11.39,2.52,19.25,28.7,0,0,8.76,18.86,1.74,5.56,13.7,3.49,38.77,8.98,4.85,9.91,55.42,2.31,13.3,29.3,0,1.66,226.97,0,0,11.04,0,0,9.53,11.97,1.7,8.23,0,12.76
 96-106,6.64,1.03,88.62,10.41,6.46,45.46,3.74,10,0.62,41.59,37.84,0,2.45,5.98,9.31,2.47,15.27,17.5,0.68,49.2,6.26,3.35,3.76,63.36,0,20.57,19.41,0,4.72,201.11,0,0,3.48,0,0,3.8,5.7,0.62,13.58,2.35,20.84
108-118,2.34,2.41,106.11,0.99,9.4,54.68,0,29.61,9.33,28.99,22.18,0,0,6.57,9.99,2.46,11.81,15.39,1.43,64.65,5.84,0,8.8,53.34,2.56,15.37,25.22,0,4.36,153.48,2.47,0,4.66,0,0,0.69,7.99,0,7.09,0.66,12.42
120,0,0,77.04,0,1.06,26.78,0,10.33,1.6,54.14,8.92,0,1.91,7.32,14.63,0,0,11.72,1.61,61.09,1.49,0,1.25,118.05,1.55,11.83,23.56,0,0,106.76,2.3,0,1.2,6.93,0,3.71,1.19,0,7.28,0,6.96
