stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,22.97,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0
  7-9,0,0,0,3.53,0,0,0,0,5.63,0,0,0,0,0,0
 10-12,6.44,0,0,0,0,0,0,0,25.71,0,0,6.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0
 24-34,0,0,0,0,0,0,0,0,2.12,0,0,0,0,1.8,0.66
 36-46,0,0,0,0,0,0,0,0,0.63,1.16,0,0,0,7.94,0
 48-58,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0
 60-70,0,0,0,7.97,0,0,0,0,2.41,0,0,0,0,0.64,0
 72-82,0,0,0,0.63,0,0,0,0,0.91,0,0,0,0,1.47,0
 84-94,0,0,0,0,0,0,0,1.55,6.34,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,9.29,0,1.36,0,1.42,0,0
108-118,0,0,0.58,1.45,1.84,1.06,1.68,0,9.05,0,0,0,2.21,0,0
120,0,3.64,12.73,0,0,0,0,0,1.36,0,0,0,1.26,0,0
