stage,epidermis,eye,fin_epithelia,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord
 14-21,1.82,0,0,0,0,0,0,0.92,0,0,5.93,0,0,0.97,0,4.07
 24-34,0,2.27,0,0,0,0,0,0,0,0,33.99,0,0,1.99,0,9.38
 36-46,0,3.08,0,4.49,0,0,5.5,11.86,0,0,19.29,0.69,0,0,0,5.49
 48-58,0.62,1.02,0.5,0.63,0.37,0.4,0,3.92,0,0,6.98,0,0,5.7,0.49,8.84
 60-70,1.57,1.3,0.8,3.92,2,3,0,1.4,0,1.13,16.51,0,0,2.95,0.63,1.25
 72-82,2.17,2.14,0,2.33,0,0,0,1.54,0.75,0,6.44,0,0,0.53,0,0
 84-94,0.83,0.81,0,0,2.73,0,0,5.72,0,0,1.64,0,3.34,0,0,0
 96-106,3.13,2.73,0,0,0.7,1.25,0,2.75,0,0,0,0,1.73,1.8,0,0.99
108-118,2.93,0.89,1.37,0.52,0.47,0,0,1.55,0,0,3.92,0,0,0,0,0
120,1.48,14.53,0,6.19,0,0,1.01,0,0,0,0,0,0,0,0,0
