stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,26.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93,0,0,8.87,15.8,0,0,0,0,0,0,0,0,0
 10-12,3.65,7.39,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,75.92,0,0,10.02,13.12,5.15,0,7.48,0,0,0,0,0,0
 14-21,0,0,4.29,0,0,0,0,0,0,0,1.93,0,0,3.11,0,0,0,0,0,0,0,0.97,0,0,0,167.39,0,0,0.98,0,0,0,0,0,0
 24-34,0,0,3.62,0,0.62,0,0,0,0,0,0,0,0,11.15,0,1.85,0,0.97,6.96,0,0,33.91,1.23,0,0,399.6,0,0,0.86,5.51,0,0,1.49,0,0.69
 36-46,0,0,8.08,0,0,0,2.8,0,0.89,0,0,0,0,8.67,0,0,0,0.9,19.25,0,0,51.39,0,0,0,372.99,0,0,0,9.23,0,0,0,0,0
 48-58,0,0,6.76,0,0.79,0.7,2.39,0,0,0,0,0,0,16.38,0,0,0,1.03,27.6,0,0,36.5,0.44,0,0,224.7,0,0,0,4.09,0,0,0,0,0
 60-70,0,0,18.98,0,2.01,0.64,2.36,0,0,0,0,0,0,10.03,0,0,0,0,11.93,0,0,15.88,0,0,0,172.22,3.72,1.46,0,2.72,0,0,0,0,0
 72-82,0,0,15.24,0,12.82,0.5,1.35,0.7,5.96,0.51,0,0,0,11.96,0,6.09,0,0.92,67.81,0,0,53.08,0.74,0.56,0,256.35,0,0,0,0,0,0.53,0,0,0
 84-94,0,1,8.53,0,5.77,0,2.22,0,1.16,0,0,0,1.98,2.89,0,3.39,0,0,53.13,0,0,21.45,0,0,0,538.58,0,0,0,0,0,0,0,0,0
 96-106,0,0,37.62,1.01,17.13,0.95,7.01,0,7.75,2.77,0,0.96,1.7,8.19,2.73,4.68,16.16,15.81,86.39,0.8,0,20.67,0,1.04,0,755.45,0,0,0,3.78,0,1.26,0,5.9,0
108-118,0,0,43.88,0,1.93,0,4.34,0,4.37,13.26,0,0,0,10.96,0,1.56,0.61,5.31,97.87,0,0.43,13.41,0.44,0,0,419.33,0,0,0,0,0.55,0,0,0,1.02
120,0,0,29.87,0,0,0,8.39,0,0,4.95,0,0,0,14.02,0,2.39,0,0,19.86,0,0,33.54,0,1.86,0,350.61,0,0,0,0,1.39,0,0,0,0
