stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.2,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,17.58,0,0,0,0,0,0
 10-12,3.59,0,8.65,0,0,0,0,0,0,0,0,0,0,43.77,17.58,0,0,12.05,0,0,0,0,0,0
 14-21,0,0,0,0.9,0.85,0,0,0,0,0,0,0,0,9.98,0,0,0,0,0,0.9,3.54,0,0,0
 24-34,0,1.05,0,0,0,2.35,0,0,0,0.89,0.81,0,0,98.63,0,0,0,0,0,0,23.41,0,0,0
 36-46,0,0,0,0,0,15.33,0,0,2.78,2.33,0,0,0,139.95,10.66,1.82,0,0,0,0,35.44,0,0,0
 48-58,0,0,0,0.89,0,97.13,0,0,3.95,10.99,0,0,6.23,239.54,0,0.91,0,0,3.13,0,41.37,0,0,0
 60-70,0,0,0,0.75,0,239.59,0,0,10.95,0.92,0,0.79,0,332.24,0,0,0,0,0,0,49.85,0,0,0
 72-82,0,0,0,1.03,0,191.43,1.33,0,13.03,7.86,0,0,0,231.14,0,1.25,0,0,0.84,0,30,0,0.63,0
 84-94,0,0,0,2.19,0,210.88,0,0,2.93,13.95,0,0,0,106.47,1.25,0,0,0,0,0,27.99,3.41,0,0
 96-106,0,0,0,1.96,0,136.31,0,0,7.08,1.89,0,0,0,78.03,0,0,1.2,0,0,0,0,0,0,1.42
108-118,0,0,0,3.83,0,122.85,0,0.84,5.73,1.75,0,0,0,154.06,0,0,3.57,0,0,0,8.88,0,0,0
120,0,0,0,0,0,90.18,0,1.58,4.03,0,0,0,0,441.14,0,0,0,0,1.1,0,35.16,0,0,0
