stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0
 10-12,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0
 14-21,0,0,0,2.01,0,0,0,0,1.52,0,0,0,1.16,0,0,0,0,0,9.99,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,54.49,0,0,0,0,1.34,2.1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,2.97,0.58,0,0,99.94,0,0,3.88,0,0,6.07,0,98.47,0,0,0,0,0,1.16
 48-58,0,0,1.11,0.65,9.92,0,0,0,313.71,0,0,10.58,1.86,1.22,88.41,0,0,0,0,0,3.05,0.62,0
 60-70,0,0,0,0,4.92,0,0.59,0,202.55,0,0,0,0.66,0,6.22,0,0,2.12,0,0,0.75,0,0
 72-82,0,0,0,0,0,0,0,0,50.79,0,0,0.64,0,0,8.46,0,0,0,0,0,3.07,0,0
 84-94,0,0,0,0,0,0,0,0,123.99,0,0,0.72,0.96,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.06,0,0.86,1.56,166.25,0.66,4.34,0.69,0,0,18.82,0,0,3.17,0,0,1.75,0,0
108-118,0,0,0,2.74,3.47,0,0,0,200.8,0,0,0.63,0,0,19.36,0.49,0,0,0,0,0,3.41,3.61
120,0,0,17.41,0,3.38,0,0,0,46.81,0,0,0,2.81,0,64.5,0,0,0,0,0,0,0,0
