stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.32,0,0,5.51,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.64,0,0,0.98,0,11.57,0.62,1.24,0,5.72,4.12,0,5.45
 36-46,0,0,2.38,1.26,0,1.18,0,2.68,0,0,0,0,2.15,0,0.91
 48-58,0,1.27,0,5.14,0,0.4,0,0.65,0,0,0,0,0,0,0
 60-70,0,0,1.93,0.95,0,1.98,0,1.6,0,0,0,2.82,0,0.94,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.51,1.38,0,0
 84-94,0,0,2.62,0,0,0,0,2.71,0,0,0,3.12,0,0,5.83
 96-106,0,0,0,0,1.07,1.04,0,0,0,0,0,8.99,0,0,0
108-118,0,0,0,0,0,1.49,4.25,0,0,0,0,1.6,0,0,0
120,0,0,0,0,0,0,0,8.61,0,0,0,6.99,0,0,1.1
