stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,9.22,3.81,12.95,2.23,0,2.2,0,1.04,0,1.02,0,2.47,0,0,0,0,0,0,0,2,0,0,1.84,406.28,1.34,23.07,0,0,0,0,2.32,0.98,14.35,0,304.22,0,0,0,0,0
 24-34,7.03,1.78,46.87,0,0,25.98,0,10.48,0.62,3.44,0,2.95,2.35,0,0,0,1.85,2.94,0,12.28,0.76,0,4.58,3772.55,9.82,120.81,7.3,0,5.53,0,1.55,0,31.76,2.85,892.04,0,0,2.38,0,0.77
 36-46,2.82,0,15.24,0,0,224.87,3.91,2.97,2.93,36.99,0.76,0,0.65,0,0,2.24,0,0,0,65.82,0,0,2.9,10067.7,6.2,131.04,4.72,0,16.41,0.81,0,0,0,0,1568.97,0,0,0,0,0
 48-58,0.46,0,37.17,0,0,1027.09,0,3.68,5.61,158.07,0.38,0.93,0.44,1.12,0,13.44,3.59,1.98,5.69,87.82,0,8.65,12.8,12268.03,6.93,57.4,14.65,0,9.75,0,0,0.57,0.47,0,1658.83,0,0,4.55,0,25.9
 60-70,2.43,0,27.78,5.25,0,3524.56,0,15.08,0.6,200.08,0.78,0,2.71,1.22,3.91,0,3.77,0.68,0,123.77,0,9.98,11.73,13086.33,2.9,42.14,13.24,0,30.82,0,0,0,1.63,0,1308.55,0,2.59,6.23,0,19.76
 72-82,10.83,0,48.93,6.9,0,3051.51,4.88,4.42,5.13,173.37,0.56,0.52,0,6.11,2.77,7.51,6.33,0,0,114.07,0,8.91,2,10000.33,0,71.91,17.19,0.71,2.47,0,0,2.49,0,0,630.68,8.8,4.8,4.56,1.84,24.21
 84-94,20.57,0,51.2,2.9,0,2084.52,0.56,4.09,22.56,168.71,11.33,0,1.87,4.51,3.49,12.68,1.74,10.67,15.84,115.84,2.03,6.85,3.03,6372.34,0.89,94.09,24.1,0,23.35,0,0,0,0,0,513.68,4.36,2.52,10.57,1.26,4.41
 96-106,6.36,1.03,45.01,3.53,0,1650.69,0.57,11.56,12.65,146.39,5.03,1.06,1.77,6.39,9.85,0.75,5.76,45.26,2.2,84.72,0.71,6,14,4714.92,0,118.98,23.8,0,20.28,0,0,0,0,0,180.12,12.21,1.65,8.28,5.23,5.35
108-118,4.7,0.89,53.68,28.24,0,1485.96,0.56,2.26,1,192.77,4.41,0,0,10.48,6.63,3.64,0.52,1.43,11.44,80.36,0,3.56,5.13,4739.6,0.51,63.83,27,0,11.46,0,0,1.88,0.94,0,155,5.6,2.03,4.75,0,4.1
120,1.37,1.28,50.06,5.58,14.01,1681.04,1.76,21.44,8.73,476.7,2.87,0,4.21,18.72,1.25,0,25.27,0,3.11,81.84,5.79,25.25,16.99,8327.27,12.94,133.66,57.52,0,56.97,0,0,0,0,0,249,8.44,0,10.78,0,2.59
