stage,blastomeres,eye,immune,muscle,neural,notochord,paraxial_mesoderm
  5-6,29.86,0,0,0,0,0,0
  7-9,0,0,0,0,4.43,0,4.06
 10-12,0,7.2,0,0,12.58,0,0
 14-21,0,0,0,1.85,0.82,0,0
108-118,0,0,0,0,0,0.53,0
120,0,0,1.01,0,0,0,0
