stage,axial,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  3-4,0,329.2,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0
  5-6,8.43,176.14,0,0,0,0,0,7.31,0,0,44.2,0,0,0,0,0,0
  7-9,17.26,0,0,4.21,0,47.71,0,7.09,0,0,361.91,13.54,66.89,0,0,0,0
 10-12,0,0,0,0,0,25.59,0,0,0,0,44.86,15.57,18.65,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0.99,1.33,0
 24-34,0,0,0.8,0,0,0,0,0,0,0,2.65,0.61,0,0,0,0,0
 36-46,0,0,0,0,0,0.65,0,0,0.79,0,13.23,0,0,0.64,0,2.56,0
 48-58,0,0,0,0,0,10.56,0,0,2.74,0,10.31,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.76,0,0,0,0.81,6.71,0,0,0,0,0,0
 72-82,0,0,0,0,1.94,7.07,1.46,0,1.64,0,9.6,0,0,0,0,3.28,0.61
 84-94,0,0,0,0,0,11.02,0,0,6.21,0,9.93,0,0,0,0,4.83,0.87
 96-106,0,0,0,0,0,6.52,1.1,0,1.51,1.56,10.55,0,0,0,0,0,0
108-118,0,0,0,0,0,4.06,0,0,0,0,5.99,0,0,0,0,0,2.61
120,0,0,0,0,0,0,0,0,0,0,15.05,0,0,0,0,0,0
