stage,endocrine_pancreas,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0
 14-21,0,7.96,0,0,0,0,2.16,0,3.41,4.77,0,0.99,0,0,0,0,0.84,0
 24-34,1.26,0.67,2.14,0,0,0,13.16,0,8.01,19.14,5.42,0,0,0.6,2.72,0,8.71,0
 36-46,0,0,4.31,5.23,0,0,5.29,0,4.38,11.42,0,0,0,0,2.86,0,16.51,0
 48-58,0,0,2.16,0,0,0,5.52,0,2.14,23.07,1.18,0,0,0,2.07,0,2.35,1.5
 60-70,0,0,1.26,1.82,0,0,2.61,0,1,40.66,1.22,0,1.19,0,0,1.84,4.59,0
 72-82,0.76,11.81,18.66,4.14,0,0.64,5.87,0.85,2.82,33.6,1.28,0,0,0,0,0,7.25,0
 84-94,0,1.08,2.99,2.18,2.13,0,3.9,0,1.92,40.51,1.86,0,0,0,5.18,0,1.55,0
 96-106,0,2.57,1.27,1.14,0.72,0,2.35,4.84,0.62,33.67,0,0,2.97,0,0,0,13.85,0
108-118,0,6.74,0,2.36,0,0,2.97,0,3.69,31.17,0,0,4.67,0,0,0,2.4,0
120,0,2.81,12.52,0,0,5.05,19.76,0,4.32,32.7,0,0,0,0,0,0,21.91,0
