stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,4.82,29.15,0,7.84,0,0,0,1.22,1.92,0,0.96,1.02,0,0,0,0,0.86,2.57,0,3.05,122.39,0,0,0,1.84,0,0.84,4.41,0,7.76,27.99,0,0,105.46,0,0
 24-34,0,1.4,0,5.51,25.61,0,8.02,0,0.62,0.68,4.39,0.64,0,2.75,38.97,0,0,0,0,0,8.13,0,2.5,249.09,1.56,0,0,0,0,0.69,0,9.37,1.44,22.63,0,0,1313.87,0,0
 36-46,0,0,0,21.12,22.77,0,14.04,13.44,0,0.74,3.33,0.72,0,2.34,44.82,0,0,0.99,0,6.49,7.92,0,0.61,155.1,0.64,0,0,0,0,3.99,0,3.5,0,14.77,0,0,1138.02,0,0.57
 48-58,0,0,0,0,3.56,0,16.13,0.71,0,6.56,4.75,2.39,0,7.55,79.3,0,0,0,2.84,1.1,9.89,5.02,2.54,127.9,1.83,1.33,0,0,0,1.67,0,4.57,0,14.63,0,0,735.8,0,6.5
 60-70,0,0,0,2.72,5,0,60.02,3.73,0,3.82,23.18,0,0,4.39,139.1,0,8.62,0,0,3.34,5.9,2.69,12.82,51.45,0,0,5.53,0,0,1.22,0,6.62,0,7.49,0,0.9,584.91,3.34,0.7
 72-82,0,0,0,2.77,1.88,0,43.43,0.53,0,0.74,8.3,1.68,0,5.92,169.9,0,0,0.79,0,0,18.64,4.09,5.73,54.63,0,0,2.17,0,0,0.71,0,5.57,0,13.18,0,38.21,886.26,13.41,5.3
 84-94,0,0,0,12.89,0.92,0,27.52,0,1.19,0,0.69,1.41,0,21.29,246.32,0,0,0,0,0.71,12.24,10.81,0,95.47,6.4,0,0,0,0,5.94,0,0,0,4.96,1.17,3.09,828.73,21.38,2.81
 96-106,0,0,0,3.47,12.83,0,51.44,0,0,0,7.68,0.71,0,14.43,261.58,0,0,1.67,0,0,30.48,5.93,0,90.78,0.62,1.74,0.71,0,8.78,12.5,0,12.29,0,3.96,0,5.76,934.98,53.27,4.01
108-118,0.45,0,0,3.86,9.72,0.72,22.32,1.9,1.61,0,2.37,0.45,0,4.56,259.9,0.49,1.89,0,0.6,0,36.93,11.89,0.49,39.45,0.41,0,0,0,3.66,3.63,0,2.9,0,0.42,0,4.2,1017.86,27.92,1.72
120,0,0,0,14.37,34.49,0,57.32,0,5.99,8.66,10.01,4.66,5.2,18.3,819.41,0,1.59,2.26,0,0,23.28,18.4,4.97,71.35,6.51,0,2.04,0,0,4.53,0,5.72,0,12.59,0,0,2564.22,43.78,0
