stage,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,visceral_smooth_muscle
 14-21,0.85,0,0,0,0,0,0,0.9,1,0,0,0,0.93,0,0
 24-34,0,0,0,0,0,0,0,0,0.95,0.98,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.78,0,0,7.49,1.45,0,0
 48-58,0,0,13.26,0,0,0,0,0,6.54,0,0,0,2.4,0,0
 60-70,0,0,1.21,0,0,0,0,0,1.98,0,0,0,0,0,0
 72-82,0,0,3.97,0,0,0,0,0,1.27,0,0,0,3.18,0,0
 84-94,3.4,0,0,0.98,2.05,0,5.28,0,0.81,0,0,0,0,0,0
 96-106,0,0,0,0,1.94,0,0,0,2.69,0,0.79,0,0,0,1.1
108-118,0,0.48,0,0,5.03,0.42,0,0,16.27,0,0.69,0,0,0.68,0
120,0,0,0,0,43.12,0,0,0,19.25,0,0,0,0,0,0
