stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.9,26.53,6.38,0,5.07,0,0,0,3.44,0,0,1.07,0,0,0,0,0,0,16.82,0,0,15.51,131.12,8.12,2.74,0,2.1,0,0,0.91,11.03,0.9,11.66,37.13,0,0,6.23,0,0
 24-34,0.97,0.63,14.57,0.66,0,19.5,0,1.49,1.88,25.08,0,0,0.69,5.35,9.93,0.63,0.68,3.19,0.75,38.13,1.6,0,17.08,363.17,9.44,6.62,5.67,0,0,22.71,0,0,4.14,1.22,78.03,0,0,17.03,0,0
 36-46,0,0,7.28,0,0,58.88,0,1.06,0,21.5,0,0,0,4.49,0,0.65,2.1,0,14.65,54.99,0,3.22,11.62,358.41,0.98,3.25,0.81,0,0,30.21,0,0,0,0,61.52,0,0,18.6,0,17.63
 48-58,0,0,16.45,2.52,0,148.53,0,0.37,2.12,29.68,0,4.32,1.33,6.86,0,0,1,5.5,13.62,56.89,0,1.36,4.38,374.58,12.07,8.32,2.03,0,0.56,16.11,0,0,0,0,84.65,0,0.64,7.81,0,34.93
 60-70,0.62,0,11.86,0.67,0,260.47,1.17,7.63,0,31.75,0.63,4.94,11.54,7.86,5.18,15.32,0.61,0.87,2.61,65.02,1.01,1.24,2.97,427.22,0,6.5,1.77,0,0,14.21,0,0,1.72,0,44.02,0,0.8,12.85,0,17.83
 72-82,3.52,0,6.29,3.41,0,272.89,0,2.9,1.82,91.48,0.7,0.59,1.04,19.15,2.95,15.97,2.78,0,2.83,131.92,0.71,5.61,9.88,333.41,0,2.68,11.78,0,1.53,1.67,0,0,1.44,0,28.84,0,4.19,26.73,0.62,39.57
 84-94,2.46,0,33.48,7.1,0,233.78,0,1.22,1.05,73.22,11.27,0.6,0.6,34.57,0.83,17.73,1.05,2.71,19.92,99.82,0.57,1.72,8.78,254.74,3.1,9.5,9.27,0,0,43.76,0,0,7.05,0,12.62,1.17,0.63,27.66,3.43,34.14
 96-106,0,0,14.09,20.49,0,312.33,0,1.59,3.25,103.81,5.23,0,1.63,17.02,9.97,5.45,7.08,0,1.97,78.7,2.03,0,2.18,211.24,3.23,11.19,9.88,0,2.63,45.7,1.35,0,1.63,0,17.28,1.45,1.32,36.17,0.69,16.29
108-118,0.41,0,17.88,1.68,0,227.3,0,8.23,4.03,90.41,9.85,0,0.93,16.54,1.12,21.45,0,3.51,7.55,97.31,0.53,3.33,3.81,384.38,1.38,10.28,14.21,0,2.46,24.04,0,0,7.5,0,14.56,3.49,1.25,41.31,3.2,12.11
120,0,0,43.22,10.09,2.35,169.22,0,2.56,2.63,181.42,3.41,0,1.17,51.02,0,21.23,20.12,7.56,0,150.82,0,24.77,12.15,535.29,12.6,9.68,5.65,0,12.24,33.91,0,0,2.6,0,16.57,0,1.54,34.22,8.42,0
