stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,199.22,3707.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.03,0,0,0,0,0,0,0,0,0,0
  5-6,39.86,1194.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,50.33,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.13,0,0,0,19.08,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,273.87,4.73,0,0,25.06,0,6.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,41.03,0,0,0,31.41,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,815.09,15.84,0,0,15.58,0,0,5.47,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,2.21,3.45,81.41,4.38,0,1.06,0.82,0,7.99,2.82,2.9,0,0,13.72,0,0,0,0,5.46,0,0,0,28.85,0,0,4.91,0,0,25.22,0,0.96,2.84,0,28.83,0,0,0.82,0,0
 24-34,0,0,0,3.05,55.67,0,0,2.75,15.32,0,11.83,1.01,0,0,0.6,13.5,0,1.76,0,0,5.22,1.35,0,3.36,103.43,3.17,3.97,2.73,0,0,71.67,0,0,9.57,0.75,34.4,0,0,39.18,0,0
 36-46,0,0,0.98,0.56,44.3,0.81,0,3.71,14.91,0.6,11.56,1.89,0,2.43,0,4.55,0,1.28,0,0.86,12.34,3.79,0,7.97,74.35,0.63,8.62,3.4,0,0,82.46,0,0,2.52,0,24.06,0,0,47.52,0,0.85
 48-58,0,0,0.4,0,13.13,0.96,0,9.34,3.49,1.04,28.83,1.61,4.94,0,0,1.81,0,1.95,2.18,0,22.57,1.95,0,0.84,64.51,0.5,2.24,4.6,0,0,32.57,0,0,10.19,0,34.72,0,0,21.95,0,0
 60-70,2.52,0,1.54,0,22.43,0,0,11.27,10.82,0.68,48.42,19.03,0,0,0,1.17,0,1.3,0,0,43.21,1.79,0,0.62,30.32,0,4.84,2.17,0,0,66.87,0,0,1.88,0,15.08,0,0,14.85,0,0
 72-82,0,0,6.33,0,15.43,0,0,8.55,8.2,0,29.02,11.21,0.52,2.74,0,5.47,1.57,8.71,0.79,0,74.65,4.62,1.13,0.64,22.48,0,5.4,8.92,0,2.19,47.7,0,0,2.07,0,14,5.03,0,29.92,0.91,8.48
 84-94,0,0,9.81,0,37.18,0.72,0,8.93,17.66,1.93,23.97,20.2,4.32,0,1.56,6.64,0.82,6.22,1.65,0,34.55,5.96,0.96,0.72,33.33,0,6.08,14.34,0,0,74.2,0,0,13.57,0,13.26,1.8,1.57,2.54,0.87,0.61
 96-106,0,0,0.63,0,32.82,0,0,11.52,4.08,1.54,25.78,21,0,0,2.28,12.52,0.57,4.5,9.08,0,33.34,6.28,1.68,1.25,41.34,0,23.3,11.79,0,0,78.02,0,0,3.25,0,7.5,7.54,3.35,11.76,3.73,4.8
108-118,0,0,4.49,0,41.16,0,0,14.15,11.94,0,35.7,27.5,0,0,0.53,12.65,0,10.94,2.75,0,39.67,2.77,4.32,0.93,25.5,0,5.37,11.82,0,3.71,59.13,0,0,1.97,0,4.35,12.19,0,10.12,1.48,0
120,0,0,0,4.41,36.52,0,2.19,2.65,9.08,4.41,23.96,51.7,0,0,1.88,16,0,10.83,0,0,21.91,11.44,0,0,21.41,0,16.43,20.92,0,1.79,41.72,0,0,7.07,0,14.47,1.99,0,5.44,2.7,0
