stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0,0,0,0,0,0,0
  5-6,23.1,289.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.08,5.39,39.23,0,0,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,223.41,8.64,0,0,66.23,0,0,0,0,0,0,0,0
 10-12,0,0,4.92,0,0,32.04,0,0,0,0,3.53,0,0,0,0,0,0,0,0,144.38,0,0,0,68.32,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,13.85,0,6.24,0,0,0,0,0,0,0,0,0,9.87,0,0,9.83,84.52,5.87,1.37,0.91,1.87,1.61,9.87,1.07,15.29,16.62,0,0,0
 24-34,0,0,1.03,2.43,0,6.79,0,0,0,1.02,0,0,0,0.94,0,2.26,0,0,4.75,67.16,0.6,0,0,0,0,0,0,1.46,16.37,4.38,0,0.95
 36-46,0,0,0,1.39,0,16.73,0.59,0,0,5.34,0,1.76,0,1.07,0,9.57,0,0,1.28,65.89,0,1.1,0,0,2.73,0,0,0,12.47,0,0,0.85
 48-58,0,0,0,0.6,0,25.09,0.99,0,0,5.58,0,0,0,0,0,10.95,0,1.14,4.84,79.61,0,0,0,0,0.52,0,0,0,7.06,0.5,0,2.3
 60-70,0,0,0,4.44,0,22.22,0,0,0,3,0,0,0,0,6.87,13.48,0,0.6,0,24.91,0,0,0,0,3.58,0,0,0,4.53,1.29,0,0
 72-82,0,0,0,0,0,14.48,0,0,0,5.36,0,0,0,0,0,7.13,0,0,0,15.42,0,1.22,0,0,0,0,0,0,12.11,2.21,0.84,0
 84-94,0,0,0,1.13,0,4.59,0,0,0,5.65,0,0.68,0,0,0,7.48,0.57,5.09,3.48,17.18,0,0,0.72,0,0,0,0,0,1.45,0.87,0,0.77
 96-106,0,0,0,3.08,0,9.52,0.71,0.81,0,1.39,0,0,1.08,0,0,9.7,0,0,2.73,11.57,0,0,1.74,0,1.85,0,0,0,0,0,0,0
108-118,0,0,0,3.4,0.5,3.26,0,0,0,2.29,0,0,0,0,0,5.47,0,0,1.5,15.98,0.45,0,0,0,1.29,0,0,0,0.7,0.62,0,0
120,0,0,0,5.19,0,10.07,0,0,4.8,4.87,0,0,0,0,0,1.36,0,0,6.5,24.99,0,0,0,0,7.97,0,0,0,0,1.51,0,0
