stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.72,505.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.37,159.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.22,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.53,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18,0,0,0,12.81,0,5.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.14,5.13,0,0,17.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,2.17,7.97,0.97,0,3.18,0,0,0,26.61,0,0,0,0,1.13,0,0,1.76,3.71,0,0,0,192.68,0,6.07,5.21,0,0,2.03,22.21,0,133.59,0,0,0,0,0
 24-34,0,0,3.69,2.29,5.23,0,0,21.77,0,0,0,24.79,0,0,0,0,0.69,0,4.34,0,7.98,2.33,0,0.79,599.42,0,16.06,5.67,0,0,5.23,19.27,0.67,233.46,0,0,1.5,0,0
 36-46,0,0,1.72,0,18.58,0,0,106.03,0,0,0,47.62,0,0,0,0,0,0,0,0,3.63,1.37,1.13,0,1055.68,0,31.55,2.14,0,0,5.38,16.19,0,365.8,0,0,0,0,8.69
 48-58,0,0,0,0,1.33,0,0,280.09,0,7.22,0,78.07,1,3.74,0.78,0,0,0.5,0.8,0,6.31,0,0.48,1.69,1147.31,1.2,13.89,2.55,0,0,0.38,4.18,0,410.18,0,0,3.03,0,0
 60-70,0,0,0,0,11.78,0,0,661.69,0,0,0,98.36,0,0,5.1,0,0,0,1.61,0,7.6,0.85,0,0,1459.54,0,13.6,12.68,0,0,8.91,1.12,0,435.77,0,0,0.7,0,0
 72-82,0,0,2.09,0,3.88,0.57,0,627.25,0,3.01,1.86,105.39,3.66,0,0,1.83,1.45,1.57,0.6,0,36.72,0,0,2.4,1302.63,0,29.32,9.71,0,0,6.79,2.8,0,451.38,0.56,0,1.7,0,0.99
 84-94,0,0,0,0,9.93,0,0,539.87,2.88,0,0,86.61,3.29,1.22,0,5.46,0.6,0,10.94,0,27.73,2.35,4.15,1.81,921.19,0,14.38,8.45,0,0,16.67,2.01,0.69,238.61,0,0.84,3.91,1.26,8.08
 96-106,0,0,1.41,1.03,14.54,0,0,531.83,0,0,0,86.63,18.45,0,0,2.95,0.81,0,14.22,1.34,23.47,0,0.62,1.38,781.34,2.18,15.66,6.07,0,1.51,14.19,1.74,0,120.71,0.87,4.06,4.32,2.07,0.8
108-118,0,0,5.19,0,10.92,3.12,4.55,554.26,2.42,0.69,0,106.76,27.28,0,0.99,3.06,0.88,1.52,6.35,0.64,25.57,6.05,0,2.14,1330.78,0.54,16.6,15.59,0,0,18.26,5.12,1.23,127.53,4.79,0,0.5,0,0
120,1.12,0,0,0,7.4,5.38,4.73,502.95,0,14.64,0,194.99,13.08,0,0,0,1.51,1.43,9.9,5.06,7.27,4.63,0,0,1371.56,0,20.57,12.6,0,0,18.47,7.45,1.64,74.47,5.48,0,0,0,0
