stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,86.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0
  5-6,15.18,53.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.31,0,0,5.01,0,0,0,0,0,0,0,0
 10-12,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.02,0,0,17.79,0,0,21.16,0,0,0,0,0
 14-21,0,0,1.09,2.54,1.41,1.54,0,1.07,0,0,0,0,0,0,0.88,0,0,28.29,314.91,0,0,0.94,0,6.3,0,839.63,189.1,9.72,0,0
 24-34,0,0,0,62.3,0,11.01,9.34,0.78,0,2.58,0,0,0,0,443.42,0,0,217.25,1333.01,1.79,5.12,0,1.48,0,0,178.25,137.95,38.95,1.08,2.71
 36-46,0,0,0,45.59,0,1.27,25.3,6.26,6.1,0.77,0,0,0,0,1221.32,0,0,35.76,1222.69,0,0,0,2.11,1.39,10.34,53.99,9.56,14.22,5.88,2.1
 48-58,0,1.29,0,58.59,0,26.07,2.89,42.07,2.81,4.49,0,1.08,0,0,1453.14,0,0.39,53.16,871.27,0,0,0,0,0,0,6.37,0,13.84,3.13,0
 60-70,0,0,0,20.06,0,13.44,4.02,4.75,1.77,5.25,0,0,0,0,972.32,0,0,34.62,468.68,0,0,0,3.13,0,0,0,0,11.05,0,0
 72-82,0,0,0,4.84,0.54,65.15,0,17.81,0,16.14,4.89,0,0,0,956.58,0,0,48.39,324.59,13.6,0,0,1.49,0,0,0,0,6.01,0,0
 84-94,0,0,0,15.72,0,55.02,5.58,22.86,1.27,34.21,0,0.83,0.67,0,1179.75,1.21,0,64.68,252.99,0,0,0,0.85,0,0,1.12,0,1.41,0,0
 96-106,0,0,0,6.38,0,44.73,1.45,30.14,1.21,25.14,0,0,0,0,866.79,0,0,23.55,179.04,0,6.09,0,0.57,0,0,5.1,0,0,0,5.99
108-118,0,0,1.57,20.16,2.65,27.81,1.48,31.41,0,36.69,0,10.31,0,0.73,624.4,0,3.11,34.12,320.44,0,0,0,0,0,0,1.48,0,1.08,0,0
120,0,0,0,4.1,0,36.13,0,12.97,5.31,22.63,0,0,0,0,662.3,0,0,42.83,248.59,0,0,0,1.25,0,0,0,0,0,0,0
