stage,erythrocytes,eye,gut,immune,iridophores,mural_cell,neural,periderm,somites,taste,vasculature
  7-9,0,0,0,0,0,0,4.39,0,0,0,0
 10-12,0,0,0,0,0,0,4.97,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.28,0,0
 24-34,0,0,0,9.21,0,0,0,0,0,0,0
 36-46,0,0,0,10.4,0,0,0,0,0,0,0
 48-58,0,0.87,0,15.01,0,0.61,2.2,0,0,0,0
 60-70,0,0,0,23.13,1.91,0,0,0,0,0,0
 72-82,0,0,0,20.46,0,0,0,0,0,0.88,0
 84-94,0,2,0,64.82,2.06,0,0,0,0,0,0
 96-106,0.96,0,0,67.65,0,0,0,3.32,0,3.56,0
108-118,0,1.2,0.48,65.92,6.46,0,0,0,0,2.76,1.24
120,0,0,0,101.21,0,0,0,0,0,1.53,0
