stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,0,10.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.07,6.46,0,0,0,0,0,0,0,0,0,1.49,0,0,0,8.02,7.83,0,0,0.95,0,0,1.73,0,0,0.92,0,1.03,4.29,0,0,0,0,0
 24-34,0,0,1.72,11.13,0,2.74,0,0,0,0,0,0,0,188.22,0,0,0,1.14,5.83,0,1.29,39.36,0,0.68,11.76,0,0,7.15,0,0,20.8,0,0,0,0,0
 36-46,0,0,6.2,10.43,0,4.96,0,6.72,0,0,0,0,0,197.15,0,1.8,0,4.57,32.49,0,1.16,74.87,0,1.14,3.2,0,0,2.06,0,0,33.2,0,0,0,0,0
 48-58,0,0,4.06,44.34,0,11.67,0,0,0,4.03,0,0,0,185.09,0,3.92,0,5.68,6.66,0,0,138.18,1.03,1.75,10.21,0,0,13.72,0,0,41.8,0,0,3.17,0,0
 60-70,0,0,13.87,26.69,0,47.88,0,0,0,8.64,0,0,0,133.44,0,8.3,0,11.4,0,0,0,380.5,0,0,126.07,0,0,5.49,0,0,30.86,11.07,0,0.72,0.59,0
 72-82,0,0,11.35,167.48,0,107.64,0,0,0,7.97,0.71,0,0,258.87,0,14.76,0,53,1.17,0.88,1.48,454.63,0,0,208.71,0,0,4.02,0,0,14.51,49.97,0.52,10.12,0,4.81
 84-94,0,0,32.17,147.87,0,89.7,0,0,0.91,14.4,0.99,1.23,0,385.91,0,54.21,0.78,27.61,2.42,0,0.78,323.14,0,0,24.87,0,0,12.06,0.77,0,17.36,141.78,0.88,1.23,3.98,0
 96-106,0,0,130.21,243.77,0.97,150.94,3.09,10.23,0,23.27,0,0,1.34,558.11,0,48.68,16.14,24.99,4.24,1.01,7.36,246.41,0,0.75,9.6,0,1.45,7.2,0,0,10.09,302.73,1.01,3.52,0,0
108-118,0,0,54.3,131.36,0,121.61,0,1.2,0.48,9.94,2.64,0,11.07,709.93,1.76,48.74,1.01,93.03,22.79,1.35,0.87,305.15,0,3.4,3.87,0,0,6.32,0,0,5.91,282.65,0,3.34,0,0
120,0,0,62.19,257.68,0,81.25,0,32.09,16.69,1.62,0,0,8.94,492.18,0,50.2,0,78.68,0,5.26,12.5,430.9,0,3.86,5.47,0,0,4.7,0,0,0,130.54,0,0,0,0
