stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0
  7-9,0,0,19.35,0,0,17.96,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,60.13,0,0,0,13.54,0,6.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,44.64,6.89,0,0,45.74,0,0,0,11.27,0,0,0,0,0,0,0
 14-21,0,0,0,13.01,17.27,6.83,0,0,0,6.79,0,3.41,0,0,0,0,0,0,1.73,48.91,0,0,49.49,179.85,7.59,0.98,62.91,0.84,0,3.91,24.05,1.13,1.26,17.7,56.56,0,0,9.93,0
 24-34,0,0.61,0.62,8.16,5.27,6.5,0,4.85,2.43,3.98,2.11,0,0,0,0,1.14,0,0,0.66,195.42,0,0,82.27,192.56,20.55,1.29,31.29,0,0,0,0.97,0,0,4.38,30.1,0,0,83.8,0
 36-46,0,0,0,1.84,0,8.68,0,0.57,10.85,9.42,0,0,0,0,0,0,0.7,0,0,276.46,0,1.42,56.14,101.01,22.81,0.8,16.57,0,0,1.8,0,0,0,0,17.48,0,0,27.28,1.82
 48-58,0,0,0,2.99,0,14.92,0.43,0,23.7,28.26,0,0,0,0,0,0,1.42,1.02,4.55,353.09,0,0,43.02,171.94,5.75,0,27.28,6.64,0,0.38,0,0,0,0,16.93,0,0,18.1,16.32
 60-70,0,0,0,1.42,0,30.91,0.7,0,46.12,93.13,0,0,0,0,4.25,1.09,0,0,19.16,433.14,0,0.87,46.73,72.97,1.1,0,18.38,0,0,2.39,0,0,0,0,19.53,0,3.03,10.48,3
 72-82,0,0.56,0,7.01,1.89,28.29,0,2.07,42.57,119.64,0,0,0.68,0,0.66,2.07,1.04,2.95,5.82,683.67,0,1.67,39.84,104.11,0.67,0,28.81,0,0,0,0,0,0,0,18.19,1.36,0.51,28.39,24.84
 84-94,0,1.2,0,4.41,0,21.74,0,0,37.18,76.71,2.46,0,0,0,0,1.64,0,12.27,9.68,559.62,0,1.18,33.44,98.41,1.56,0,24.23,0,2.65,0,0,5.84,0,0,2.88,0,0,48.16,8.89
 96-106,0,1.28,0,4.12,1.12,36.52,0,2.2,56.66,93.4,1.47,0,4.51,0.62,0,1.31,1.9,0,1.3,548.77,1.41,2.17,31.98,116.77,2.37,0,54.93,0,5.96,0,0,0.71,0,0,14.81,0,0.78,31.77,6.98
108-118,0,2.14,0,5.8,1.13,32.79,0,2.11,31.69,146.6,0,0,4.28,0.87,0,17.18,2.38,4.93,1.1,804.11,0,0.46,24.69,129.64,0.92,0,43.11,0,0,0.44,0,0.44,0,0,2.94,3.18,0,18.53,3.54
120,0,0,0,0,0,42.27,0,0,46.51,125.09,1.34,0,0,5.69,0,3.27,2.64,3.61,1.51,669.8,0,16.67,23.56,102.39,9.75,0,26.18,0,15.88,0,0,1.2,0,0,0,0,3.8,59.98,5.99
