stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,21.12,246.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.32,0,0,0,0,0,0,0
  5-6,18.01,344.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0
  7-9,7.23,19.4,8.51,0,0,0,13,0,0,12.22,0,0,0,0,189.6,3.67,83.88,0,0,0,0,0,0,0,0
 10-12,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0,94.41,0,31.03,0,4.8,0,0,0,0,0,0
 14-21,0,0,0.91,2.65,0,0,0,0,1,0,0,0,1.17,0,4.22,1.7,0,0,0,4.02,3.47,5.94,2.93,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0.93,0,0,0,2.46,1.65,1.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.95,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0.4,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.63,1.03,0,0,0,0,4.56,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.57,0,0,0,0,0,4,1.51,0,2.21,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.3,2.17,0,0,0,0,0,0,0,0,0,0,0,0,4.64
108-118,0,0,0,0,0,0.46,0,0,0,0,0,4.06,0,0.78,2.27,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
