stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,116.72,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,10.59,12.21,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.21,0,0,0,5.67,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,21.26,10.48,0,0,36.21,0,0,0,4.54,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,3,1.61,0,2.75,0,0,0,0.82,0,0.92,0.81,0,1.08,0,0,0,3.15,0,2.68,27.78,0.86,0,0,0,0,14.09,2.91,0,1.53,7.16,0,0,1.43,0,0
 24-34,0,0,0,0,11.1,0,0,3.02,0,1.04,0,1.24,0,0,0,0,4.67,0,2.42,0,18.17,0,1.74,101.4,0,0,5.51,0,0,16.33,0,0,0,13.5,0,0,0,0,0
 36-46,0,0,0,0,2.17,0.73,0,14.89,0,0,0,3.03,0.56,0,3.97,0.57,0.67,0,3.34,0,6.84,0,6.73,120.15,1.14,0.63,4.5,0,0,30.91,0,3.76,0,15.76,0,0,0,0,0
 48-58,0,0,0,0,5.7,0,0,24.13,0.84,2.27,0,4.39,0,0,0,0,0.61,0,0,0,3.94,0,0.45,123.5,0,2.32,6.9,0,0,17.67,0,0,0,17.59,0,0,0.87,0,0
 60-70,0,0,0,0,3.32,0,0,29.48,0.58,0,0,1.54,0,0,0.95,0,0,0,3.78,0,3.68,0,2.76,183.65,0,0.89,12.37,0,0,25,0,0,0,18.7,0,0,0.83,0,3.21
 72-82,0,0,0.69,0,1.74,1.33,0,31.03,0,0,4.53,4.72,0,0,0,0,0.55,0.83,5.71,0,19.67,0,1.51,142.34,1.28,0,11.61,0,0,3.56,0,0,0,8.81,6.7,0,8.62,0.93,0.67
 84-94,0,0,0,0,8.62,0,0,19,0,0.66,0,23.44,0.61,0,0,1.35,0.76,0,8.08,0.83,10.03,0,0.55,98.46,4.93,5.78,10.09,0,7.18,46.38,0,0.57,0,8.64,0.86,0,5.7,0,2.9
 96-106,0,0,0,0,11.34,0,0,23.48,0.57,0.58,1.21,11.44,0,0,0.73,1.16,2.56,0,4.58,0,10.65,3.88,1.92,142.03,0,1.09,9.96,0,0,13.21,0,0,0,4.02,2.24,0,2.81,0,1.24
108-118,0,0,0.91,0,19.01,0,4.81,24.58,0,1.89,0,17.94,1.56,0,0,0,2.21,0,9.12,0,20.44,2.16,3.04,110.04,0,0,19.34,0,0,9.89,0,0,0,1.8,0,0.43,0,0,0
120,0,0,0,0,8.36,9.24,0,21.24,2.29,0,3.1,10.84,15.79,0,0,0,3.36,17.67,0,0,12.97,3.25,2.54,159.39,0,0,5.82,0,4.48,24,0,0,0,0,0,0,0,0,4.77
