stage,hatching_gland,neural,notochord,paraxial_mesoderm,presomitic_mesoderm
 10-12,4.38,9.59,0,13.93,0
 14-21,0,0,0,0,0.82
 48-58,0,1.56,0,0,0
 60-70,0,0,1.83,0,0
