stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm,somites
  3-4,0,269.25,0,0,0,0,0,0
  5-6,44.58,361.07,0,0,10.74,0,0,0
  7-9,3.82,0,0,15.08,117.47,3.22,39.9,0
 10-12,0,5.4,3.73,8.14,122.08,4.29,52.83,6.05
