stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,40.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0
  7-9,3.7,3.22,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,163.07,0,0,0,44.16,4.32,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23.56,0.96,0,0,0,0,1.26,0,0,0,7.89,0,1.02,0,0,5.55,0,0,0,0,12.29,0,0.88,2,0,0,0
 24-34,0,0,70.31,1.05,1.32,0,12.01,0,0,3.55,8.54,0.6,112.39,4.66,4.98,28.45,0,41.1,1.02,12.05,1.46,0,147.01,0,1.54,12.44,0,0,0
 36-46,0,0,42.73,0,0,0,4.11,0,1.45,0,8.59,0,53.03,6.09,0.6,17.9,0,41.64,0,5.53,0.61,0,228.52,1.46,0,10.09,0,2.05,0
 48-58,0,0,31.58,0,6.04,0,8.4,0,1.76,0.54,2.44,0,20.3,9.89,0.87,20.1,0,34.15,0,3.39,1.17,0,176.34,0,0,7.58,0,7.59,0
 60-70,0,0,46.19,0,17.04,0,3.61,0,0,1.53,1.75,0,24.83,11.89,0,12.87,0,5.96,0,2.88,1.03,0,157.1,0,0,0,2.59,0,0
 72-82,0,0,29.04,0,26.2,0,4.83,0.81,0,4.33,3.96,0.52,30.66,17.25,12.68,22.1,0,26.81,1.46,4.7,0,0,91.33,0,0,2.37,6.97,0,11.09
 84-94,0,0,58.64,0,1.08,0,11.44,0,0,8.53,2.25,0,24.51,8.66,0,27.24,0,27.62,0,8.35,0.62,0,147.03,0,0,0,17.73,0,0
 96-106,0,0,105.21,0,23.19,0,7.38,0,1.09,35.59,0,0,68.56,60.81,7.35,50.54,1.91,50.53,0,33.44,0,1.2,213.38,0,0,0.67,105.23,0,0
108-118,0,0,66.35,5.44,10.82,0.7,12.64,0,0,19.02,0,3.87,37.82,17.64,9.16,13.53,2,21.32,0,9.88,0.75,0,128.31,0.94,0,0.71,30.58,0,0
120,0,0,157.7,0,0,0,11.94,0,0,40.22,0,2.03,55.32,13.55,0,11.62,0,6.07,0,8.18,0,0,201.59,0,0,0,31.06,0,0
