stage,mesenchyme,muscle,neural,spinal_cord
 14-21,0.83,0,8.03,0
 24-34,0.95,0,0,0
 36-46,0.73,0.85,0,1.26
 60-70,0.92,0,0,0
 72-82,2.58,0,0,0
108-118,0,0,6.53,0
