stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,205.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.3,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,17.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,26.7,0,4.41,0,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,0.88,1.41,0,0,0,0,0,0,0,0,0,0,0,1.88,0,7.69,9.87,0,0,0,5.23,0,16.68,35.63,6.54,0,0,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.72,0,0,42.84,0,0,10.36,0,0.62,0.82,0.87,19.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.85,0,0,0,2.37,0,0,0,0,0,5.88,0,3.37,133.16,0,0,0,0,0,0,0,24.5,0,0,0,0,0
 48-58,0,0,0,0,0,2.49,17.43,0,0,0.43,2.85,0,0,0,0,0,5.33,0,0,336.79,0,0,0.82,0,0,0,0,32.79,0,0,0,0,0
 60-70,0,0,0,0,1.88,0,143.39,1.33,3.31,0,6.92,0,0,0,0,0,4.59,0,0,612.82,0,0,0,0,1.95,0.71,0,31.17,0,0,2.98,0,2.33
 72-82,0,0,0,0,0,0,134.37,0,1.21,0,17.31,0.7,0,0,0,21.83,9.95,0,0,892.38,0,0,0.81,0,0,0,0,42.4,0,0,0,0,0
 84-94,0,0,0,0,2.77,0,131.49,0,0,0,3.99,0.57,0,0,0,0,2.15,8.53,0,522.16,1.22,0,0.61,0,0,0,0,15.52,2.36,0,0,3.47,6.73
 96-106,0,0,0,0,11.88,0,60.18,0,2.87,0,18.24,0,0,1.33,0,5.88,2.82,1.36,0.59,632.08,0.57,0,0.57,0,0,0,0,13.55,0,2.67,0,0,0
108-118,0,0,0.62,0,1.1,1.04,133.5,1.3,1.41,1.53,10.16,0,0,0,0.7,0,9.81,0,0,510.29,0,0,0.47,0,0,0,0,21.7,0,0,0,0,0
120,0,0,0,0,2.9,0,156.11,2.44,0,0,38.65,0,0,0,0,0,19.37,0,0,1107,0,0,0,0,0,0,0,18.39,0,0,0,0,0
