stage,axial,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,14.64,0,6.52,0,0.87,0,0.95,0,2.65,0.81,0,0,0,0,0,27.62,0,13.1,86.44,22.01,0,0.94,0,24.09,8.19,0,4.84,18.63,0,0,0,0,0
 24-34,0,0,2.22,0,2.94,0,1.74,1.35,8.04,0,2.81,0.71,0,0,0,0.76,0,35.91,0,15.56,214.4,1.36,0.6,1.37,0,44.15,0,0,0.64,66.84,0,0,8.35,0,0
 36-46,0,0.85,1.24,0,5.65,0,0.8,6.55,49.82,0,2.41,5.96,0,0,0,0,0,72.12,2.28,16.8,289.41,1.24,0.6,0,0.97,82.77,0,0,0,110.03,0,0,0.56,0,0
 48-58,0,0,5.4,0,35.33,0,0.39,10.33,146.16,0,1.93,2.28,0,0,0,0,3.06,85.04,4.93,20.97,200.82,5.78,0,6.21,0,25.62,0,0,0,108.55,0,0,1.23,0,5.36
 60-70,0,0,6,0,10.14,1.28,0,12.08,93.43,0,0,11.81,0,0,0,0,4.07,99.44,6.12,3.97,65.16,4.74,0,1.68,3.36,22.04,0,0,0,42.63,0,0.63,3.27,0,0
 72-82,0,0,7.42,0,32.48,0.76,3.67,10.74,79.19,0,0,7.23,0,0,1.13,0,0,151.44,8.22,12.42,60.67,1.4,0,6.43,4.65,9.47,0,3.33,0,7.95,0,5.56,3.47,3.39,0
 84-94,0,0,11.35,0,32.84,0,3.21,10.13,58.26,0,0.78,7.25,0,0,0,2.4,0,98.94,4.55,9.45,47.08,2.74,0.94,3.51,5.32,28.82,0,0,0,9.18,0,2.62,0,3.35,3.76
 96-106,0,0,9.43,0,34.65,0,1.67,10.54,65.98,0.56,0,6.87,0,0,1.05,0,0,133.08,7.89,4.29,58.14,2.89,0,7.57,2.84,29.08,0,0,0,3.08,0,1.6,0,3.55,10.7
108-118,0,0,17.72,0.47,33.95,7.37,0.48,18.42,54.01,3.33,0,16.69,0,1.77,0,4.68,1.09,151.45,7.04,8.78,55.65,3.46,3.34,6.88,6.42,24.88,0,0,0,4.12,0.55,5.99,16.16,4.79,0
120,2.37,0,9.72,0,29.41,0,0,35.39,131.81,0,0,20.46,1.1,0,0,0,0,244.85,19.51,11.13,119.63,19.82,10.74,12.19,0,44.1,0,0,0,1.91,0,2.2,1.82,3.54,0
