stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,0,0,0,3.62,0,0,0,0,0,3.74,0,0,0,0,0,0,0,51.38,13.62,0,19.68,5.76,0,0,0,0,0,0,0,0
 10-12,0,4.04,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,105.04,0,0,27.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.17,1.2,1.73,0,0,0,0,2.91,0,0,0,0,0,0,0,0.84,4.23,1.04,0,0.83,0,3.55,3.89,0.92,0,0,0,0,0
 24-34,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,1.45,0,0,7.16,0.73,0,0,0,0,0.75,0.84,0,0,0,0,0
 36-46,0,0,0,0,17.93,0,0,0,0,0,0,0,0,0,0.68,0.86,0,0,12.39,0,0,0,1.52,0,0,0,0,0,0.6,0,0
 48-58,0,0,0,0,64.42,0,0,0,0.68,0.92,0,0,0,0,0,0,0,0.41,28.37,0.44,0,0,0,0,0,1.76,0,0,0,0,0
 60-70,0,0,2.09,0,1129.86,0,0,0,4.64,0,0,0,0,0,0,6.66,0,0.68,24.82,0,0,0,0,0,0,0,0,0,0,0,0.97
 72-82,0,0,6.89,0,3037.68,0,0,3.61,22.59,0,0,0.66,0.61,0.57,0,4.37,0,0,102.73,0,0,0,1.14,0,0,3.21,0,0,0.5,0.76,0
 84-94,0,0,14.76,3.27,1645.2,0,0.71,0,40.44,0.98,0,0,0,0,0,1.38,1.13,1.01,54.95,0,0.72,0,0,0,0,1.85,0,0.64,4.06,0,0
 96-106,0,0,6.07,1.15,2736.08,2.35,0,0,44.56,0,0,1.61,0.81,0,0,5.03,0,0,37.58,0,0,0,0,0,0,4.3,0,0,0,0.93,0
108-118,0,0,16.11,0,2186.28,0,0,0.95,15.22,1.04,0,0,0,0,0,7.64,6.17,0,43.09,0.69,0,0,1.42,0,0,0,1.01,0,0,0,0
120,0,0,0,0,1016.45,1.99,0,0,45.17,0,0,0,0,0,0,3.83,0,1.13,74.83,0,6.19,0,1.24,0,0,0,0,0,0,0,0
