stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,50.97,545.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.79,733.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.73,94.86,0,10.06,0,0,301.37,0,0,0,0,0,12.29,0,0,0,0,0,0,0,0,0,0,0,1692.72,48.86,0,0,1053.76,11.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.39,14.89,0,0,139.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.34,0,1.88,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,464.27,2.24,0,0,0,0,0,0,0,0,73.22,0,0,0
 24-34,0,0,1.05,0,76.87,6.53,356.08,0,3.31,5.23,308.13,0.69,2.95,1.77,1.7,1.67,9.35,1.69,4.43,4.54,115.21,1.79,0,61.64,76225.27,18.47,33.06,22.27,1,101.69,0,9.09,13.02,13.95,15074.09,0,62.47,7.71
 36-46,0,0,0.85,0.56,42.9,6.53,569.24,4.58,16.67,19.99,1152.93,0,0,3.38,8.75,4.68,11.69,0.92,1.55,29.6,149.58,0.65,13.65,100.17,59267.59,37.74,19.64,26.97,0,47.84,1.05,4.56,24.32,4.88,34683.98,0,50.87,44.74
 48-58,0,0,0,0,17.4,1.76,404.14,0.59,6.36,1.83,528.96,3.21,0,1.23,2.71,0,0,1.44,0,0.86,46.65,0,0.94,17.11,6967.15,4.68,1.56,1.49,0,21.72,0,0,8.18,0,10355.34,0,9.02,9.61
 60-70,0,0,0,0,0,0,88.88,0,0,4.25,23.47,0,0,0,0,0,0,0,0,0,5.99,0,0,1.76,478.04,9.54,0,7.14,0,2.81,0,0,0.61,0,642.72,0,0,0
 72-82,0,0,0,0,4.01,0,43.67,0,0,0,15.05,0,0,0,0,0,0,0,0,0,4.42,0,0,1.76,154.29,0,1.3,0,0,0.76,0,0,0,0,90.84,0,0,0
 84-94,0,0,0,0,1.65,0,29.34,1.37,0,0,7.38,0,0,0,0,0,0,0,0,0,6.13,0,0,0,61.05,0,0,0,0,0.94,0,0,0.66,0,94.4,0,0,0
 96-106,0,0,0.81,0,0,0,48.77,0,0,0,6.22,0,0,0,0,0,0,0,0,0,3.42,0,0,0,31.71,0,0,0,0,0,0,0,0.57,0,11.2,3.69,0,0
108-118,0,0,0.76,0,0,0,21.02,0,0,0,5.47,0,0,0,0,0,0,0,0.75,0,2.43,0,0,0,74.08,0,0,0,0,1.15,0,0,0,0,2.68,0,0,0
120,0,0,3.73,0,3.37,0,3.97,0,0,0,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,74.28,0,0,2.2,0,0,0,0,0,0,12.02,0,0,0
