stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.68,0,0,0,7.07,0,0,0,0,0
 14-21,0,1.27,0,0,0,0,0,0,0,0,9.06,0,0,6.84,7.46,0,0,0,0,0,3.18,0,0.91,0
 24-34,0,6.08,0,1.56,0,0,35.21,1.54,0,0,38.27,0,0,20.93,66.65,0,1.01,1.65,0,0.99,7.98,0,0,0
 36-46,0,0,0,0.65,0,0,58.66,1.8,0,0,48.56,0,0,11.54,131.4,0,0,0.6,0,0,1.88,0,0,0
 48-58,3.88,0,0,8.9,0,0,43.32,0,4.58,0,58.64,0.37,0,6.82,67.38,1.36,0,4.52,0,0,1.53,0,0,0
 60-70,0,2.43,0,0,0,0,17.83,0,0,0,109.74,0,1.27,5.44,26.89,0,0,15.98,0,0,6.58,0,0,0
 72-82,0,0,2.46,6.42,0,5.2,22.22,1.42,0,2.6,138.17,0,8.55,9.86,49.79,0,0,11.39,0,0,1.56,0,2.98,0
 84-94,0,0,0,6.79,0,2.48,10.45,0,0,0,118.33,0,0.84,2.74,14.53,0,0,5.81,0,0,1.07,0,7.32,0
 96-106,0,2.23,0,10.48,0,6.25,7.36,14.61,0,0,120.56,0,3.51,7.59,32.38,0,0,17.22,0,0,0,3.38,15.64,2.34
108-118,0,0.69,0,3.76,0.48,0.95,5.19,0,0.67,0,140.32,0,0,1.18,28.63,0,0.47,9.21,0,0,3.14,3.02,5.25,0
120,0,2.51,0,4.23,0,0,58.13,4.18,0,0,143.06,0,9.98,0,112.85,0,1.99,16.12,0,0,0,0,42.85,0
