stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.06,0,0,3.58,0,16.42,0,0,0,0,0,0,0
 14-21,0,0,2.75,0,1.32,0,0,0,16.85,1,0,0,0.87,0,0,4.7,4.05,0,0,4.21,118.61,0.83,0,0,0,0.9,0.91,61.96,0,0,0,0,9.95
 24-34,0,0,2.32,0,21.72,0,0,0,47.39,0,0,0.71,2.23,0,0,3.56,30.23,0,0,11.09,480.52,2.4,1.42,0,0,0,0,186.14,0,0,1.41,0,17.14
 36-46,0,0.85,0,0,11.86,0,0,0,394.98,0,0,0.56,1.94,0,0,0.87,62.39,0,0,17.28,671.65,0,1.9,0,0,5.91,0,401.29,0,0,0.68,0,25.24
 48-58,0,0,1.85,0,49.76,0,0,0,611.79,0,0,14.68,2.38,0,0,0,60.77,0.7,0,5.69,441.98,0.88,3.53,0,3.09,0,0,479.61,0,0,0.9,0,38.43
 60-70,0,0,2.87,0,40.35,0,0,1.78,987.36,0,0,11.93,7.44,1.62,5.16,0,91.28,0,0,1.37,325.28,0,1.87,0,0,0,0,299.38,0,0,4.06,0,40.48
 72-82,0,0,1.59,0,47.96,0,0,0,997.6,0,0.5,3.87,18.94,0.75,0.96,1.79,100.81,0,0,9.13,235.53,0,7.08,0,1.86,0,0,154.06,1.36,0,3.28,0.91,16.61
 84-94,0,0,0.73,0,60.41,0,0,0,845.43,0,0.6,7.1,4.53,0,0,0,104.86,0,1.06,5.24,215.69,0,0,0,0.65,0,0,90.12,0.9,0.64,4.79,2.41,17.83
 96-106,0,0,7.57,0,30.43,0.87,0.56,0,750.22,0,0,11.63,9.07,0,0,0,51.93,0,0.78,1.78,183.69,0,4.69,0,3.66,0,0,39.16,0,0,0.56,0,5.59
108-118,0,0,5.44,3.08,25.94,0.66,0,0,799.53,0,0,5.62,12.52,0,0,0,82.83,0,2.06,4.42,208.91,0,11.7,0,0,0,0,40.67,0,2.65,0.45,1.11,23.53
120,0,0,1.16,10.5,53.89,0,0,0,985.03,0,0,35.58,3.18,0,0,0,99.52,0,0,1.93,201.54,0,6.57,0,0,0,0,52.83,0,0,2.72,0,0
