stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,0,0,0,0,11.39,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,85.15,0,0,0,25.3,0,0,0,0,0,0,0,0
 10-12,0,19.65,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.51,8.49,0,0,30.69,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.66,0,3.2,0,0,3.33,0,0,0,0,0,0,0,0,0.83,0,1.14,23.44,0,0,0,1.94,0,1.07,0,0,2.67,14.27,1.49,0
 24-34,0,0,0,0,0,0,2.61,0,1.21,0,0,0,2,0,0,0,0,0,2.97,0,2.18,27.71,0,0,0,0,0,0,1.26,0,0,5.3,3.21,0
 36-46,0,0,0,0,0,0,1.34,0,0,0,0,0,0,7.19,0,0,0,0,2.5,0,1.27,24.23,0,0,0,0,0,0,0,0,0,1.57,1.85,0
 48-58,0,0,0,0,0,0,4.17,0,0,0.41,0,0,0,0,0,0,0,2.84,0.53,0,0.39,8.93,0,0,0,0,5.69,0,2.01,0,0,2.22,0,0
 60-70,0,0,0,0,0,0,5.39,0,0,0,1.72,0,0,0,0,0,0,9.14,6.71,0,0.68,0,0,0,0,0,2.45,0,2.65,0,0,0,0,0
 72-82,0,0,2.56,0,0,1.65,0.62,0,0,0,0,0,0,0,0,0.72,0,7.31,7.45,0.57,0,4.06,0.89,0,0,0,0.54,0,1.28,0,0,3.81,0,0
 84-94,0,0,3.73,0,0.77,0,0.6,0,0,6.32,12.13,0,0,1.52,0,0,1.84,9.95,10.59,0,0.77,20.88,0,0,0,0,5.24,0,13.69,1.43,0,1.19,0,0
 96-106,0,0,0.99,0,0,1.49,6.3,0.61,0,0,2.28,0,0,2.86,1.04,0,1.13,10.47,7.3,1.37,0,11.68,0,0,1.02,0,4.16,0,2.91,0,0,4.5,0,0
108-118,0,0,1.55,0.49,0.54,12.91,2.46,0,0,0.99,16.58,0,0,0.65,0,0.43,0,15.32,3.26,0,0.46,16.11,0,0,0,0,2.01,0,13.33,0,0,0,0,8.04
120,0,0,0,0,0,0,8.51,0,0,0,7.38,0,0,0,0,0,0,6.83,15.87,0,0,0,0,1.46,1.66,0,2.5,0,24.03,0,0,0,0,0
