stage,blastomeres,erythrocytes,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.7,0,0,0,0,0,0,0,0,0
  5-6,254.76,0,0,0,0,7.33,0,0,0,0
  7-9,0,0,18.23,0,0,188.04,21.41,35.49,0,0
 10-12,0,0,6.38,9.42,0,71.82,0,7.79,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.33
 24-34,0,0,0,0,1.36,0.79,0,0,5.61,0
 36-46,0,0,0,0,0.61,0,0,0,0,0
 48-58,0,0,0,0,0.4,1.28,0,0,0,0
 84-94,0,0,0,0,1.02,0,0,0,0,0
 96-106,0,7.38,0,0,0,0,0,0,0,0
108-118,0,0,6.41,0,0,2.85,0,0,0,0
120,0,0,0,0,0,1.88,0,0,0,0
