stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,57.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.98,0,0,0,0,3.31,0,0,0,0,0,76.16,42.48,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0
 14-21,0,1.24,0.9,0.94,0,0.82,0,0,0,0,0,4.6,0,0,3.25,0.85,1.02
 24-34,0,1.26,0,0,0,3.91,0,0.73,0,0,0,12.64,0,0,0,0,0
 36-46,0,0,0,0,0,2.01,0,0,0,0,0,4.31,0,0,0,0,2.37
 48-58,0,0,0,0.66,0,2.58,0,0,0,0,0,5.24,0,0,0,0,2.23
 60-70,0,0,0,0,0,10.93,0,0,0,1.07,0.65,3.47,0,0,0,0,1.25
 72-82,0,0,0,0,0,7.27,1.07,1.23,0.55,0,0,16.63,0,0,0,0,0
 84-94,0,0,0,0.62,1.01,3.58,0,0,0,0,0,2.44,0,3.38,0,0,0
 96-106,0,1.28,0,1.47,0,4.74,0.72,0,0,0,0,3.96,0,3.6,0,0,0
108-118,0,0,0,0,1.22,2.68,0,0,0,0,0,2.87,0,0.44,0,0,0
