stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,0,0,0,5.12,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,7.33,0,0,0,1,0,0,0,1.25,0,0,0,0,0,0,0,0,0,1.87,0,0,0,54.78,4.95,46.21,0.8,0,0,3.89,0,0,0,0,0,24.4,0,0,0,0,0
 24-34,0,0,1.41,3.21,0,0,11.19,0,0,0,0.73,0,0,0,0,0.81,0,0,3.77,0,2.06,0,0,1.8,1039.43,13,401.74,1.33,0,0,1.64,0,0,0,0,2.18,104.6,0,0,0,0,0
 36-46,0,0,0,1.29,0,0,36.55,0,0,0,14.16,0,0,0,0,0,0,0,0,0,6.75,0,0,1.09,3092.04,0,433.45,0,0,0,0.87,0,0.86,0,0,0,278.56,0,0,0,0,0
 48-58,0,0,0.44,11.58,0,0,248.22,0,2.05,1.74,33.26,0.61,0,2.83,1.44,0,5.47,0.74,0,0.5,27.65,0,1.13,2.34,4982.48,0,260.2,1.06,0,0,6.52,0,0,0,0.9,0,439.74,0,0.61,0,0,9.16
 60-70,0,0,0,10.8,3.08,0,250.96,0,3.17,0,36.11,0,0,0,0,0,0,0.77,0,0,30.42,3.18,0,2.31,7004.17,2.19,229.58,2.22,0,0,16.18,0,0,5.3,0,0,476.28,0,2.95,2.28,0,29.44
 72-82,0,0,2.61,13,1.91,1.16,367.54,3.17,0,0.77,93.12,3.5,0,0,2.33,0,7.36,2.06,0.54,0,53.91,0,7.27,9,4714.52,0,293.35,7.02,0,2.45,2.07,0,0,0.64,0,0,222.05,0,0,13.56,3.69,25.28
 84-94,0,0,0,18.24,2.81,0,291.55,0,0,2.56,59.09,4.83,0,0.7,2.13,0,2.01,0.65,0,0,44.27,0,1.55,2.61,3246.5,0,367.42,3.99,0,0,21.36,1.4,0,5.09,0,0,141.43,2.69,4.94,6.05,2.23,0
 96-106,0,0,1.83,12.21,21.29,0,222.41,0,1.75,0,53.42,4.57,0,0,0,0,6.86,0,0,0,35.88,0,0,1.81,1926.1,0.57,439.09,6.07,0,2.39,12.5,0.93,0,0,0,0,60.3,0,0,1.93,3.21,0
108-118,0,0,0.71,21.69,3.26,0,124.81,0,0.42,1.13,52.88,3.69,0,0,0,0,0,0.45,2.4,0,22.15,0,1.9,2.95,2823.55,0.44,242.19,7.42,0,5.93,6.45,0,0,0,0,0,48.37,5.25,4.34,0,0,0
120,0,0,0,19.32,1.71,0,240.52,0,7.56,0,93.27,3.06,0,0,4.1,1.28,0,0,0,0,43.87,0,8.27,2.07,3586.6,0,291.85,5.32,0,3.68,20.69,0,0,0,0,0,39.96,0,0,0,0,0
