stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,180.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.11,0,7.09,0,0,0,30.75,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,131.21,0,0,0,71.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.51,0,0,0,0,0,15.42,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,47.94,0,0,0,9.54,0,6.05,0,12.79,0,0,0,0,0,0,0
 14-21,0,0,3.33,1.34,14.53,0.99,0,3.99,0,0,0,0,0,0,0.81,0,0.89,0,0,0,0,0,0,25.45,0.81,0,0,2.54,0,1.27,3.82,0,1.01,28.07,0,0,0,0,0
 24-34,0,0,5.44,1.46,1.44,0.67,0,2.44,0,0,0,1,0.59,0,0,0,0.64,0,0.65,0,1.17,0,0,497.23,1.55,10.9,0.88,0,3.89,0,0,1.78,0.61,154.34,0,0,0,0,0
 36-46,0,0,1.92,0,8.93,0,0,15.25,0,0,0,0,0,0,2.28,0,0,0,0,0,5.41,0,0,1266.17,3.99,18.08,0,0,11.07,0,0,0,0,246.93,0,0,0,0,0
 48-58,0.77,0,2.13,0,8.31,0.67,0,110.62,0,7.64,0.4,23.7,4.06,0,0,0,0,0,0,6.39,8.5,0,2.76,2274.29,3.54,2.93,0,0,7.17,0,0,0,0,271.01,0,0,2.11,0,0
 60-70,0,0,0,0,6.71,0,0,291.95,0,0,0,73.88,0,0,0,0,0,0,0,0,14.49,0,0,3396.66,4.4,11.02,4.21,0,16.03,0,0,0,0,452.81,0,0,0,0,0
 72-82,0,0,2.22,0,8.93,0,0,339.16,0,0,0,63.42,0.54,0,0,0.63,0.63,0.72,0,0,13.61,0,0.56,3658.89,0,4.37,0,0,2.75,0,0,0,0,218.46,0,3.83,0.99,0,2.83
 84-94,0,0,4.65,0,8.73,0,0,293.9,0,0.68,0,50.03,2.99,0,0,1.52,0,0.67,0,0,10.41,2.76,1.83,2157.55,2.17,6.2,0.69,0,13.67,0,0,0,0,135.05,0,2.12,0.59,0,0
 96-106,0,0,3.95,0,20.4,0,0,211.57,0,3.01,4.79,40.17,1.63,0,0,1.65,0.62,0,0,5.25,14.95,0,0.69,1956.57,0.7,8.78,2.43,0,57.24,0,0,0,0,55.71,7.97,0,10.33,1.16,0.8
108-118,0,0,4.87,0,16.47,3.28,2.51,234.89,1.3,2.46,0,31.34,1.45,0,0,0,1.33,0,2.84,0.49,18.28,0,0,1980.84,0.59,6.86,7.39,0,21.68,0,0,1.88,0,62.17,0.8,0,0,0,0
120,0,0,0,0,46.09,3.03,0,365.32,0,0,0,63.64,0,0,0,0,0,0,0,0,23.24,38.96,4.25,3853.33,15.35,4.35,4.38,0,12.71,0,0,0,0,94.5,1.84,0,0,0,0
